"LANDSCAPE ARCHITECTURE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"520
LAND ARC","","","","","","","","","","","","","","","","","","",""
"","201
001","23","3.000","17.4","21.7","21.7","30.4","4.3","4.3",".",".",".",".",".",".",".",".",".","."
"","002
201","27","3.056","25.9","11.1","25.9","22.2","14.8",".",".",".",".",".",".",".",".",".",".","."
"Intro Land Arc Studio","Course Total","50","3.030","22.0","16.0","24.0","26.0","10.0","2.0",".",".",".",".",".",".",".",".",".","."
"","250
001","22","2.795","13.6","22.7","9.1","18.2","36.4",".",".",".",".",".",".",".",".",".",".","."
"","002
250","22","2.773","27.3",".","22.7","18.2","22.7","9.1",".",".",".",".",".",".",".",".",".","."
"","250
003","22","2.341","4.5","9.1","27.3","22.7","18.2","9.1","9.1",".",".",".",".",".",".",".",".","."
"","004
250","24","2.396","4.2","8.3","16.7","12.5","54.2","4.2",".",".",".",".",".",".",".",".",".","."
"","250
005","22","2.818","13.6","27.3","18.2","9.1","27.3",".","4.5",".",".",".",".",".",".",".",".","."
"","250
006","23","2.326","8.7",".","21.7","13.0","43.5","13.0",".",".",".",".",".",".",".",".",".","."
"Survey of Land Arch Design","Course Total","135","2.570","11.9","11.1","19.3","15.6","34.1","5.9","2.2",".",".",".",".",".",".",".",".","."
"Prin Land Arc Dsgn&Graphics","261
001","21","3.095","4.8","42.9","42.9","4.8",".",".","4.8",".",".",".",".",".",".",".",".","."
"Landscape Invntry&Eval Meth","262
001","30","3.333","26.7","40.0","23.3","6.7",".",".","3.3",".",".",".",".",".",".",".",".","."
"","001
263","12","2.708","25.0","8.3","33.3",".","16.7","8.3","8.3",".",".",".",".",".",".",".",".","."
"","002
263","17","3.176","35.3","17.6","17.6","5.9","23.5",".",".",".",".",".",".",".",".",".",".","."
"Landscape Plants I","Course Total","29","2.983","31.0","13.8","24.1","3.4","20.7","3.4","3.4",".",".",".",".",".",".",".",".","."
"Independent Studies","299
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Disease-Landscp Trees&Shrub","309
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Landscape Arch Tech II","354
001","18","3.306","11.1","66.7","11.1","5.6",".","5.6",".",".",".",".",".",".",".",".",".","."
"Planting Design I","365
001","17","3.324","41.2","23.5","23.5","5.9",".",".","5.9",".",".",".",".",".",".",".",".","."
"Special Topics","375
002","15","2.961","6.7","46.7","13.3","13.3",".","13.3",".",".",".",".",".",".",".",".","6.7","."
"Environmental Aesthetics","548
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Professionl Pract-Land Arch","550
001","24","3.458","16.7","66.7","12.5",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Landscape Arch","610
001","23","3.455","43.5","21.7","13.0","21.7",".",".",".",".",".",".",".",".",".",".",".","."
"Restoration Ecology","666
001","23","3.500","43.5","13.0","21.7","4.3","4.3",".",".","8.7",".",".",".",".","4.3",".",".","."
"Senior Thesis","691
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Applictn of GIS:Natrl Rsrcs","695
001","13","2.885","7.7","30.8","38.5","7.7","7.7",".","7.7",".",".",".",".",".",".",".",".","."
"","699
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems-Land Arch","Course Total","2","***","","","","","","","","","","","","","","","",""
"Theories-Landscape Change","710
001","9","3.722","66.7","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Crit Inquiry-Landscape Dsgn","720
001","7","3.643","28.6","71.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Pol&Mgmt-National Parks","749
001","8","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate Seminar","940
001","10","3.500",".","10.0",".",".",".",".",".","90.0",".",".",".",".",".",".",".","."
"","990
011","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
015","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
016","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","12","",".",".",".",".",".",".",".","75.0",".",".",".","25.0",".",".",".","."
"Independent Studies","999
015","3","***","","","","","","","","","",".",".",".",".",".",".","."
