"LAW","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","",""
"990","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","092","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Research","Course Total","","81","3.973","25.9","2.5",".",".",".",".",".","66.7",".",".",".",".","3.7",".","1.2","."
"991","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","009","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"991","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"991","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","031","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"991","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","074","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Reading","Course Total","","24","3.472","41.7","25.0","4.2",".",".",".","4.2","25.0",".",".",".",".",".",".",".","."
