"Smr-Portuguese Literature","771
001","5","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"Romance Philology","817
001","1","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"Thesis","990
032","2","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"PORTUG
782","Dept. Total","213","3.084","37.6","13.1","20.2","7.0","11.7","3.3","3.3","2.3","0.5","0.9","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"782
PORTUG","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","10","2.526","20.0","20.0","20.0",".","20.0","10.0","10.0",".",".",".","",".","",".","",".",".",".","."
"Sophomore","","48","2.704","22.9","12.5","29.2",".","22.9","4.2","8.3",".",".",".","",".","",".","",".",".",".","."
"Junior","","73","3.151","39.7","12.3","20.5","12.3","11.0","2.7","1.4",".",".",".","",".","",".","",".",".",".","."
"Senior","","53","3.255","47.2","11.3","17.0","7.5","7.5","3.8","1.9","1.9","1.9",".","",".","",".","",".",".",".","."
"Undergraduates","","184","3.026","36.4","12.5","21.7","7.1","13.6","3.8","3.8","0.5","0.5",".","",".","",".","",".",".",".","."
"Special","","2","3.250","50.0",".",".","50.0",".",".",".",".",".",".","",".","",".","",".",".",".","."
"Graduate","","25","3.664","44.0","20.0","12.0","4.0",".",".",".","12.0",".","8.0","",".","",".","",".",".",".","."
"Prof Yr 2","","1","",".",".",".",".",".",".",".","100.0",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".","",".","",".",".",".","."
"Professionals","","2","4.000","50.0",".",".",".",".",".",".","50.0",".",".","",".","",".","",".",".",".","."
"","Dept. Total","213","3.084","37.6","13.1","20.2","7.0","11.7","3.3","3.3","2.3","0.5","0.9","",".","",".","",".",".",".","."
