"JOURN AND MASS COMMUNICA Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","","",""
"Course Total
Independent Research Prob","8","4.000","75.0",".",".",".",".",".",".",".","",".",".","",".","12.5","12.5",".",".","."
"JOURN
Dept. Total
512","1711","3.316","28.6","28.5","24.1","7.9","3.2","1.2","0.4","1.7","",".","3.3","",".","0.6","0.1","0.2","0.1","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","","",""
"Freshmen","83","3.181","15.7","32.5","28.9","16.9","4.8",".",".",".","",".",".","",".",".",".","1.2",".","."
"Sophomore","375","3.257","18.9","34.9","31.2","9.9","2.4","1.6",".","0.3","",".","0.3","",".",".",".","0.3","0.3","."
"Junior","439","3.302","29.4","29.2","28.0","7.1","3.6","1.1","0.7",".","",".","0.9","",".",".",".",".",".","."
"Senior","638","3.321","33.9","26.3","21.3","8.2","3.8","1.6","0.6","0.3","",".","3.8","",".",".",".","0.3",".","."
"Undergraduates","1535","3.292","27.9","29.6","26.1","8.7","3.5","1.4","0.5","0.2","",".","1.9","",".",".",".","0.3","0.1","."
"Special","28","3.524","39.3","21.4","21.4",".","3.6",".",".",".","",".","14.3","",".",".",".",".",".","."
"Graduate","148","3.732","33.8","18.2","4.7","0.7",".",".",".","17.6","",".","16.2","",".","7.4","1.4",".",".","."
"Dept. Total","1711","3.316","28.6","28.5","24.1","7.9","3.2","1.2","0.4","1.7","",".","3.3","",".","0.6","0.1","0.2","0.1","."
