"ENGR PROFESSIONAL DEVELO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","",""
"","101
001","229","3.456","27.5","45.4","18.8","7.0","0.4","0.4",".",".",".",".",".",".",".","0.4",".","."
"","002
101","12","3.167","8.3","25.0","33.3",".","8.3",".",".",".",".",".",".",".",".","25.0",".","."
"Contemp Iss-Engr Profession","Course Total","241","3.445","26.6","44.4","19.5","6.6","0.8","0.4",".",".",".",".",".",".",".","1.7",".","."
"","155
001","21","2.905","4.8","28.6","33.3","28.6",".",".","4.8",".",".",".",".",".",".",".",".","."
"","155
002","20","2.925","5.0","30.0","35.0","25.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"","155
003","20","3.316","10.0","50.0","30.0",".","5.0",".",".",".",".",".",".",".",".","5.0",".","."
"","004
155","23","2.848","8.7","13.0","39.1","26.1","8.7","4.3",".",".",".",".",".",".",".",".",".","."
"","155
005","21","3.167","19.0","33.3","33.3",".","9.5","4.8",".",".",".",".",".",".",".",".",".","."
"","155
006","19","3.579","42.1","31.6","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
007","20","3.125","10.0","20.0","55.0","15.0",".",".",".",".",".",".",".",".",".",".",".","."
"","155
008","21","3.333","28.6","42.9","9.5","4.8","14.3",".",".",".",".",".",".",".",".",".",".","."
"","155
009","18","2.833","11.1","5.6","38.9","38.9",".","5.6",".",".",".",".",".",".",".",".",".","."
"","155
010","20","3.175","5.0","45.0","45.0",".",".","5.0",".",".",".",".",".",".",".",".",".","."
"","011
155","19","2.816","5.3","5.3","47.4","31.6","10.5",".",".",".",".",".",".",".",".",".",".","."
"","155
012","18","3.194","16.7","38.9","38.9",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"","155
013","20","3.575","55.0","20.0","15.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","155
014","19","3.658","52.6","26.3","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Basic Communication","Course Total","279","3.171","19.4","28.0","33.3","12.5","3.9","1.4","1.1",".",".",".",".",".",".","0.4",".","."
"Introduction to Engineering","160
001","203","3.507","46.8","20.2","25.1","5.4","2.0",".","0.5",".",".",".",".",".",".",".",".","."
"Freshman Independent Study","199
017","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Teams & Engr Profession","265
001","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
001","17","3.882","82.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
275","18","3.889","88.9","5.6",".","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","275
003","18","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Presentations","Course Total","53","3.868","79.2","17.0","1.9","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"","307
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
002","8","3.875","37.5","12.5",".",".",".",".",".",".",".",".",".",".","37.5",".","12.5","."
"Japanese Lang&Cult-Prof I","Course Total","12","3.786","41.7","8.3","8.3",".",".",".",".",".",".",".",".",".","25.0","8.3","8.3","."
"","330
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","330
002","10","3.750","60.0",".","20.0",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"Basic Technical Japanese I","Course Total","12","3.667","50.0",".","25.0",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"","374
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","374
002","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Intermed Tech Japanese I","Course Total","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Elems: Comp-Assist Publishg","395
001","10","3.500","60.0","10.0","10.0",".",".","10.0",".","10.0",".",".",".",".",".",".",".","."
"Technical Communication","397
001","166","3.521","37.3","41.0","13.9","6.6","0.6",".","0.6",".",".",".",".",".",".",".",".","."
"Tech Communications Intrshp","398
001","10","4.000","90.0",".",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","413
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","413
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Japanese for Bus & Industry","Course Total","4","***","","","","","","","","","","","","","","","",""
"Technical Editing","497
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tech&Professnl Communicatn","597
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","630
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 122 of 388",""
