"","999
084","3","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
094","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
095","5","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Reading","Course Total","36","4.000","72.2",".",".",".",".","",".",".","19.4",".",".","",".","2.8","5.6",".",".","."
"CURRIC
272","Dept. Total","2322","3.885","63.5","8.4","2.5","0.4","0.5","",".","0.1","3.9","0.1","18.9","",".","0.8","0.9","0.0","0.0","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","11","4.000","100.0",".",".",".",".","",".",".",".",".",".","",".",".",".",".",".","."
"Sophomore","","50","3.862","86.0","8.0","4.0",".","2.0","",".",".",".",".",".","",".",".",".",".",".","."
"Junior","","298","3.924","76.2","8.7","1.3",".","0.3","",".",".",".",".","12.4","",".",".","0.3","0.3","0.3","."
"Senior","","1361","3.855","58.4","9.0","3.2","0.6","0.7","",".","0.1",".",".","28.1","",".",".",".",".",".","."
"Undergraduates","","1720","3.870","62.6","8.8","2.8","0.5","0.6","",".","0.1",".",".","24.4","",".",".","0.1","0.1","0.1","."
"Special","","121","3.885","65.3","11.6","3.3",".",".","",".",".","1.7",".","16.5","",".",".","1.7",".",".","."
"Graduate","","481","3.943","66.3","6.0","0.8","0.2",".","",".",".","18.5","0.4",".","",".","3.7","4.0",".",".","."
"","Dept. Total","2322","3.885","63.5","8.4","2.5","0.4","0.5","",".","0.1","3.9","0.1","18.9","",".","0.8","0.9","0.0","0.0","."
