"AGRICULTURAL AND APPLIED E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","",""
"215","001","","62","3.081","30.6","17.7","21.0","8.1","19.4","1.6","1.6",".",".",".",".",".",".",".",".","."
"215","002","","99","3.146","35.4","17.2","13.1","16.2","15.2","3.0",".",".",".",".",".",".",".",".",".","."
"Intro to Agr & Applied Econ","Course Total","","161","3.121","33.5","17.4","16.1","13.0","16.8","2.5","0.6",".",".",".",".",".",".",".",".","."
"306
The Real Estate Process","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"320
Farming Systems Management","001","","37","2.757","21.6","8.1","29.7","13.5","16.2","5.4","5.4",".",".",".",".",".",".",".",".","."
"323
Cooperatives","001","","35","2.829","25.7","8.6","22.9","25.7","2.9","11.4","2.9",".",".",".",".",".",".",".",".","."
"343
Environmental Economics","001","","10","2.662","30.0","20.0","10.0","10.0",".","30.0",".",".",".",".",".",".",".",".",".","."
"374
Growth&Develpmt Global Econ","001","","15","3.067","33.3","20.0","20.0","6.7","6.7","13.3",".",".",".",".",".",".",".",".",".","."
"375
Special Topics","002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","2","***","","","","","","","","","","","","","","","",""
"426
Quant Mthds-Ag Econ","001","","31","3.403","29.0","41.9","19.4","6.5",".","3.2",".",".",".",".",".",".",".",".",".","."
"477
Ag Econ Development-Africa","001","","9","3.500","33.3","33.3","11.1","11.1",".",".",".","11.1",".",".",".",".",".",".",".","."
"575","001","","8","3.643","50.0","12.5","25.0",".",".",".",".",".",".",".",".",".",".","12.5",".","."
"575","002","","10","3.800","80.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","18","3.735","66.7","5.6","22.2",".",".",".",".",".",".",".",".",".",".","5.6",".","."
"635
Applied Microeconomic Thry","001","","14","3.464","35.7","35.7","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","071","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","146","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","13","3.925","76.9","7.7","7.7",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"733
Food Price&Policy Analysis","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"760
Dynnamc Natrl Resource Econ","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799
Practicum: Ag Econ Teaching","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875
Special Topics","001","","6","3.500","33.3","16.7","33.3",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","8","",".",".",".",".",".",".",".","62.5",".",".",".","37.5",".",".",".","."
"990","064","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","074","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","080","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","25","",".",".",".",".",".",".",".","72.0",".",".",".","28.0",".",".",".","."
