"","999
067","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"","999
186","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"","999
194","2","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"Advanced Independent Study","Course Total","7","4.000","85.7",".",".",".",".",".",".","14.3","",".",".","",".",".","",".",".",".","."
"ENVIR ST
360","Dept. Total","856","3.204","25.4","22.0","21.1","7.4","6.5","1.5","0.8","6.7","",".","5.7","",".","2.5","",".","0.2","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","77","3.017","14.3","26.0","28.6","11.7","16.9","2.6",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","167","2.980","12.6","31.1","28.7","11.4","11.4","2.4","2.4",".","",".",".","",".",".","",".",".",".","."
"Junior","","162","3.191","21.6","29.0","30.2","10.5","6.2","0.6","1.2","0.6","",".",".","",".",".","",".",".",".","."
"Senior","","220","3.270","33.2","23.2","25.0","7.3","6.4","2.3","0.5","1.4","",".",".","",".",".","",".","0.9",".","."
"Undergraduates","","626","3.141","22.4","27.2","27.8","9.7","8.9","1.9","1.1","0.6","",".",".","",".",".","",".","0.3",".","."
"Special","","13","3.148","23.1",".","15.4","15.4",".","7.7",".","7.7","",".","15.4","",".",".","",".",".","15.4","."
"Graduate","","215","3.815","34.4","8.4","2.3",".",".",".",".","23.3","",".","21.9","",".","9.8","",".",".",".","."
"Prof Yr 3","","2","",".",".",".",".",".",".",".","100.0","",".",".","",".",".","",".",".",".","."
"Professionals","","2","",".",".",".",".",".",".",".","100.0","",".",".","",".",".","",".",".",".","."
"","Dept. Total","856","3.204","25.4","22.0","21.1","7.4","6.5","1.5","0.8","6.7","",".","5.7","",".","2.5","",".","0.2","0.2","."
