"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"","201
001","83","2.795","36.1","2.4","16.9","2.4","30.1","9.6","2.4",".",".",".",".",".",".",".",".","."
"","002
201","66","2.553","30.3","4.5","27.3","6.1","4.5","12.1","15.2",".",".",".",".",".",".",".",".","."
"Principles of Statistics","Course Total","149","2.688","33.6","3.4","21.5","4.0","18.8","10.7","8.1",".",".",".",".",".",".",".",".","."
"","001
224","65","2.690","16.9","12.3","30.8","1.5","23.1","7.7","4.6",".",".",".",".",".",".","1.5","1.5","."
"","002
224","98","2.689","21.4","9.2","29.6",".","26.5","9.2","4.1",".",".",".",".",".",".",".",".","."
"","224
003","57","2.772","15.8","14.0","22.8","24.6","14.0","7.0","1.8",".",".",".",".",".",".",".",".","."
"Intro Stats for Engineers","Course Total","220","2.711","18.6","11.4","28.2","6.8","22.3","8.2","3.6",".",".",".",".",".",".","0.5","0.5","."
"","301
001","103","3.152","29.1","12.6","33.0","9.7","13.6","1.0",".","1.0",".",".",".",".",".",".",".","."
"","301
002","95","3.132","27.4","11.6","37.9","10.5","11.6",".","1.1",".",".",".",".",".",".",".",".","."
"","003
301","103","3.131","25.2","12.6","36.9","15.5","8.7","1.0",".",".",".",".",".",".",".",".",".","."
"","004
301","95","3.068","24.2","7.4","38.9","16.8","12.6",".",".",".",".",".",".",".",".",".",".","."
"","301
005","55","2.718","5.5","20.0","21.8","25.5","23.6","3.6",".",".",".",".",".",".",".",".",".","."
"Intro-Statistical Methods","Course Total","451","3.072","23.9","12.2","34.8","14.6","13.1","0.9","0.2","0.2",".",".",".",".",".",".",".","."
"Intro to Math Statistics","309
001","14","3.571","57.1","14.3","21.4",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","311
001","62","2.575","12.9","8.1","22.6","9.7","37.1","3.2","3.2","1.6",".",".",".",".",".",".","1.6","."
"","311
002","42","2.560","4.8","9.5","23.8","31.0","23.8","7.1",".",".",".",".",".",".",".",".",".","."
"Intro to Mathematical Stat","Course Total","104","2.569","9.6","8.7","23.1","18.3","31.7","4.8","1.9","1.0",".",".",".",".",".",".","1.0","."
"Intro to Mathematical Stat","312
001","46","3.300","34.8","17.4","26.1","10.9","8.7",".",".","2.2",".",".",".",".",".",".",".","."
"Intro to Mathematical Stat","313
001","17","3.406","41.2","17.6","23.5",".","11.8",".",".",".",".",".",".",".",".","5.9",".","."
"Applied Regression Analysis","333
001","27","3.460","44.4","11.1","25.9","7.4","3.7",".",".","3.7",".",".",".",".",".",".",".","3.7"
"Intro-Survey Theory & Meths","411
001","24","3.854","79.2","12.5","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Expermntl Design-Engrs","424
001","28","3.196","21.4","39.3","14.3","7.1","17.9",".",".",".",".",".",".",".",".",".",".","."
"","431
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","431
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Theory of Probability","Course Total","2","***","","","","","","","","","","","","","","","",""
"Linear Programming Methods","525
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","541
001","110","2.977","15.5","26.4","16.4","21.8","20.0",".",".",".",".",".",".",".",".",".",".","."
"","002
541","46","3.810","65.2","17.4","8.7",".",".",".",".","4.3",".",".",".",".",".","4.3",".","."
"Intro to Biostatistics","Course Total","156","3.207","30.1","23.7","14.1","15.4","14.1",".",".","1.3",".",".",".",".",".","1.3",".","."
"","001
571","78","3.526","37.2","32.1","29.5","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"","002
571","39","3.342","28.2","38.5","23.1","2.6",".","2.6","2.6","2.6",".",".",".",".",".",".",".","."
"Stat Meth for Bioscience I","Course Total","117","3.466","34.2","34.2","27.4","1.7",".","0.9","0.9","0.9",".",".",".",".",".",".",".","."
"Mathematical Statistics I","609
001","20","3.375","25.0","55.0","15.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632
001","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Mthds for Clin Trials","641
001","10","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
092","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
100","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
114","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
138","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","4","***","","","","","","","","","","","","","","","",""
"Applied Time Series Anal I","001
701","15","3.700","53.3","33.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mathematical Statistics","709
001","18","3.500","33.3","27.8","33.3",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Sequential Analysis","751
001","17","3.233","52.9","5.9","17.6",".",".",".","11.8","11.8",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 301 of 388",""
