"LAW","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","",""
"Environ Law & Institutions","848
001","","33","3.457","27.3","12.1","27.3","3.0",".",".",".","30.3",".",".",".",".",".",".",".","."
"Professnl Responsibilities","850
001","","77","3.366","27.3","32.5","22.1","6.5","2.6",".","1.3","7.8",".",".",".",".",".",".",".","."
"","852
001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","852
003","","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","852
004","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
852","","11","3.643","27.3","72.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","852
009","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Trial Advocacy","Course Total","","51","3.837","37.3","17.6","2.0",".",".",".",".","43.1",".",".",".",".",".",".",".","."
"","854
001","","34","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
003","","11","3.591","36.4","54.5",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","854
004","","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
005","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
009","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
010","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
011","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Clinical Program","Course Total","","94","3.591","4.3","6.4",".","1.1",".",".",".","88.3",".",".",".",".",".",".",".","."
"Collctv Bargng-Negotn Proc","857
001","","10","3.400","30.0","30.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Criminal Procedure","860
001","","24","3.909","79.2","8.3","4.2",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Probs-Criminal Procedures","861
001","","9","3.556","55.6","22.2","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Institutionalized Persons","862
001","","47","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"LAIP Seminar","866
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Client Counselling","880
001","","22","3.409","22.7","40.9","31.8","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Wis Environmntl Law Journal","894
001","","24","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Wisconsin Internl Law Journ","895
001","","65","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Womens Law Journal","896
001","","28","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Law Review","899
001","","72","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Constitutional Law Seminar","904
002","","22","3.853","54.5","22.7",".",".",".",".",".","22.7",".",".",".",".",".",".",".","."
"Bioethics and the Law","905
001","","22","3.929","86.4","4.5","4.5",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"Seminar-Psychiatry and Law","911
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Meths-Disputes Settlement","912
001","","21","3.095","19.0","33.3","23.8","14.3","4.8",".","4.8",".",".",".",".",".",".",".",".","."
"Probs-Criminal Justice Adm","915
003","","10","3.667","40.0",".","20.0",".",".",".",".","40.0",".",".",".",".",".",".",".","."
"Problems: Intl Law Seminar","918
001","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Law and Tax Policy","933
001","","10","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Profession","934
001","","40","3.412","32.5","15.0","32.5",".","2.5","2.5",".","15.0",".",".",".",".",".",".",".","."
"Problems in Family Law-Smr","939
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","940
003","","16","3.438","43.8","37.5","12.5",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","940
004","","10","3.400","20.0","40.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
005","","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940
006","","23","3.696","56.5","26.1","17.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 317 of 388",""
