"INTEGRATED LIBERAL STUDIES Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","",""
"198
004","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
010","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
014","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
024","15","",".",".",".",".",".",".",".",".",".","93.3","6.7",".",".",".",".","."
"198
028","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
030","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
031","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
039","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
040","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
042","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"043
198","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"198
054","14","",".",".",".",".",".",".",".",".",".","92.9","7.1",".",".",".",".","."
"198
198","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Directed Study","184","",".",".",".",".",".",".",".",".",".","98.4","1.6",".",".",".",".","."
"199
055
Directed Study","1","***","","","","","","","","","",".",".",".",".",".",".","."
"200
001
Critical Thinkng & Expressn","114","3.197","14.0","35.1","34.2","14.9",".","0.9","0.9",".",".",".",".",".",".",".",".","."
"201
001
W Culture:Sci,Tech,Philos I","201","3.160","24.9","22.4","27.9","13.4","9.5","0.5","1.0",".",".",".",".",".",".",".","0.5","."
"202
001
W Culture:Sci,Tech,Phil II","52","3.125","21.2","25.0","23.1","19.2","11.5",".",".",".",".",".",".",".",".",".",".","."
"203
001
West Culture:Lit&The Arts I","191","3.189","34.0","19.4","24.6","7.9","8.9","2.1","2.6","0.5",".",".",".",".",".",".",".","."
"204
001
West Cult: Lit&The Arts II","45","3.089","13.3","35.6","28.9","13.3","4.4","2.2","2.2",".",".",".",".",".",".",".",".","."
"205
001
W Cult:Pol,Econ&Soc Thght I","264","3.150","16.3","31.8","33.0","9.8","4.5","1.1","1.9","0.8",".",".",".",".",".","0.8",".","."
"206
001
W Cul:Pol,Econ&Soc Thght II","53","2.774","9.4","20.8","32.1","20.8","9.4",".","7.5",".",".",".",".",".",".",".",".","."
"207
001
History of Westrn Culture I","107","3.767","61.7","24.3","6.5","0.9","0.9",".",".","4.7",".",".",".",".",".","0.9",".","."
"209
001
Intro to Global Cultures","182","3.426","39.0","30.2","16.5","6.6","7.1","0.5",".",".",".",".",".",".",".",".",".","."
"236
001
Bascom Course","2","***","","","","","","","","","",".",".",".",".",".",".","."
"252
001
Contemporary Life Sciences","173","2.980","25.4","5.2","35.8","10.4","20.8","1.2","0.6",".",".",".",".",".",".",".",".","0.6"
"275
001
Special Topics in ILS","38","3.545","47.4","31.6","18.4",".",".",".","2.6",".",".",".",".",".",".",".",".","."
"400
001
Senior Seminar","4","***","","","","","","","","","",".",".",".",".",".",".","."
"ILS
Dept. Total
500","1611","3.217","25.0","21.6","23.4","8.9","6.9","0.8","1.2","0.5",".","11.2","0.2",".",".","0.2","0.1","0.1"
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","",""
"Freshmen","772","3.190","19.3","20.7","22.8","7.8","4.9","0.9","1.4",".",".","21.5","0.4",".",".","0.3",".","."
"Sophomore","445","3.224","26.3","24.9","26.1","8.5","9.2","0.4","0.9","0.2",".","2.9",".",".",".","0.2",".","0.2"
"Junior","238","3.266","32.8","21.0","25.2","11.8","6.7","0.8","0.8","0.4",".","0.4",".",".",".",".",".","."
"Senior","153","3.228","37.9","17.6","16.3","11.1","10.5","1.3","2.0","2.6",".","0.7",".",".",".",".",".","."
"Undergraduates","1608","3.217","25.0","21.6","23.4","8.9","6.9","0.8","1.2","0.4",".","11.3","0.2",".",".","0.2",".","0.1"
"Special","3","",".",".",".",".",".",".",".","66.7",".",".",".",".",".",".","33.3","."
"Dept. Total","1611","3.217","25.0","21.6","23.4","8.9","6.9","0.8","1.2","0.5",".","11.2","0.2",".",".","0.2","0.1","0.1"
