"ENGR PROFESSIONAL DEVELO Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","","","",""
"Course Total
Rsch-Japanese Technical Lit","5","***","","","","","","","","","","","","","","","","","","",""
"001
690","23","3.609","56.5","26.1","13.0",".",".","4.3",".",".",".","",".",".","",".","",".",".",".","."
"690
002","21","2.905","4.8","28.6","33.3","28.6",".",".","4.8",".",".","",".",".","",".","",".",".",".","."
"003
690","23","2.848","8.7","13.0","39.1","26.1","8.7","4.3",".",".",".","",".",".","",".","",".",".",".","."
"004
690","14","3.500","64.3",".","14.3",".",".",".","7.1",".",".","",".",".","",".","",".",".","14.3","."
"006
690","7","2.000","14.3",".",".",".",".",".","14.3",".",".","",".",".","",".","",".",".","71.4","."
"007
690","11","3.750","27.3",".","9.1",".",".",".",".","45.5",".","",".",".","",".","",".",".","18.2","."
"690
008","3","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"690
009","4","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"690
010","24","3.958","91.7","8.3",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"690
011","23","3.609","21.7","78.3",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"Course Total
Special Topics in E P D","153","3.566","39.9","23.5","15.0","7.8","1.3","1.3","2.0","3.3","",".",".","",".","",".",".",".","5.9","."
"699
033","3","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"699
035","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Course Total
Independent Study","4","***","","","","","","","","","","","","","","","","","","",""
"E P D
Dept. Total
348","1199","3.471","37.2","28.7","20.4","7.2","1.7","0.7","0.7","0.8","",".","0.9","",".","",".","0.4","0.5","0.8","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","687","3.348","28.4","30.1","26.8","10.0","2.5","1.0","0.6",".","",".",".","",".","",".",".","0.3","0.3","."
"Sophomore","72","3.469","45.8","27.8","13.9","6.9","1.4",".","1.4",".","",".",".","",".","",".",".","2.8",".","."
"Junior","88","3.510","40.9","34.1","17.0","4.5","1.1",".","1.1",".","",".",".","",".","",".",".",".","1.1","."
"Senior","213","3.593","48.8","29.6","13.1","3.8","0.5",".","0.5","1.4","",".","0.5","",".","",".",".","0.9","0.9","."
"Undergraduates","1060","3.429","34.7","30.2","22.4","8.1","1.9","0.7","0.7","0.3","",".","0.1","",".","",".",".","0.6","0.5","."
"Special","62","3.593","45.2","4.8","9.7",".",".","1.6","1.6","11.3","",".","11.3","",".","",".","6.5",".","8.1","."
"Graduate","77","3.828","64.9","27.3","2.6",".",".",".",".",".","",".","3.9","",".","",".","1.3",".",".","."
"Dept. Total","1199","3.471","37.2","28.7","20.4","7.2","1.7","0.7","0.7","0.8","",".","0.9","",".","",".","0.4","0.5","0.8","."
