"L&S","","","","","","","","","","","","","","","","","","",""
"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"COMP SCI
266","Dept. Total","3767","3.023","23.5","17.1","20.4","9.5","10.4","3.3","2.7","3.2","0.1","7.4","1.5","0.1","0.1","0.2","0.1","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"Freshmen","","349","2.609","11.7","13.5","15.2","10.9","16.3","4.3","6.3",".",".","15.5","6.0",".",".",".",".","0.3"
"Sophomore","","1128","2.990","20.0","18.4","23.5","9.1","10.7","4.2","2.8",".",".","9.0","1.6",".",".","0.2",".","0.4"
"Junior","","732","2.911","18.0","16.4","24.0","13.3","12.4","3.7","2.7",".",".","7.4","1.2",".",".","0.4","0.1","0.3"
"Senior","","829","2.888","18.7","15.0","22.3","12.3","13.6","4.3","3.0","2.1","0.2","7.0","1.0",".",".","0.2","0.1","0.1"
"Undergraduates","","3038","2.907","18.2","16.4","22.4","11.2","12.6","4.1","3.3","0.6","0.1","8.8","1.8",".",".","0.2","0.1","0.3"
"Special","","68","3.263","25.0","25.0","20.6","1.5","4.4",".","4.4","1.5","1.5","10.3","2.9",".","1.5","1.5",".","."
"Graduate","","661","3.666","47.5","19.7","11.5","2.3","1.1","0.2",".","15.7",".","0.8",".","0.5","0.3",".","0.5","0.2"
"","Dept. Total","3767","3.023","23.5","17.1","20.4","9.5","10.4","3.3","2.7","3.2","0.1","7.4","1.5","0.1","0.1","0.2","0.1","0.2"
