"PATHO-BIOLOGICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"703
PATH-BIO","","","","","","","","","","","","","","","","","","","",""
"510
Veterinary Immunology","001","","78","3.390","15.4","53.8","23.1","5.1","1.3",".",".",".",".",".",".",".","1.3",".",".","."
"512
Intro-Veterinary Epidemolgy","001","","78","3.314","28.2","23.1","35.9","9.0","3.8",".",".",".",".",".",".",".",".",".",".","."
"513
Veterinary Virology","001","","78","3.357","25.6","28.2","37.2","6.4","1.3",".",".",".",".",".",".",".","1.3",".",".","."
"517
Veterinary Bact & Mycology","001","","79","3.399","25.3","32.9","39.2","1.3","1.3",".",".",".",".",".",".",".",".",".",".","."
"559
Veterinary General Path","001","","78","3.269","17.9","32.1","38.5","9.0","2.6",".",".",".",".",".",".",".",".",".",".","."
"560
Veterinary Systemic Path I","001","","78","3.064","6.4","33.3","33.3","20.5","6.4",".",".",".",".",".",".",".",".",".",".","."
"660
Vet Necropsy Rotation","001","","24","4.000","41.7",".",".",".",".",".",".","58.3",".",".",".",".",".",".",".","."
"675","001","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","002","","9","3.444","22.2","44.4","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","24","3.444","8.3","16.7","12.5",".",".",".",".","62.5",".",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"775","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"775","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
