"EDU","","","","","","","","","","","","","","","","","","","",""
"PHYSICAL EDUC ACTIVITY PRO Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","",""
"244
001
Power Skating","19","3.500","21.1","10.5","5.3",".","5.3",".",".","57.9",".",".",".","",".","",".",".",".","."
"262
001","17","3.750","58.8","17.6",".",".","5.9",".",".","11.8",".",".",".","",".","",".","5.9",".","."
"262
002","20","3.433","15.0","40.0","15.0","5.0",".",".",".","25.0",".",".",".","",".","",".",".",".","."
"Course Total
Tennis II","37","3.586","35.1","29.7","8.1","2.7","2.7",".",".","18.9",".",".","",".","",".",".","2.7",".","."
"263
001
Racquetball II","10","3.833","40.0","20.0",".",".",".",".",".","40.0",".",".",".","",".","",".",".",".","."
"275
001","29","3.500","51.7","10.3","3.4","3.4","13.8",".",".","13.8",".",".",".","",".","",".","3.4",".","."
"275
002","30","3.667","46.7","13.3","20.0",".",".",".",".","16.7",".",".",".","",".","",".","3.3",".","."
"Course Total
Volleyball II","59","3.583","49.2","11.9","11.9","1.7","6.8",".",".","15.3",".",".","",".","",".",".","3.4",".","."
"277
001
Kendo:Intgratn-Mrtl&Lib Art","26","3.175","15.4","19.2","19.2","23.1",".",".",".","23.1",".",".",".","",".","",".",".",".","."
"295
001
Bicycling","13","3.786","38.5","7.7","7.7",".",".",".",".","46.2",".",".",".","",".","",".",".",".","."
"300
001","24","3.750","54.2","29.2","8.3",".",".",".",".","8.3",".",".",".","",".","",".",".",".","."
"002
300","15","3.773","53.3","13.3",".","6.7",".",".",".","13.3","6.7",".",".","",".","",".","6.7",".","."
"Course Total
Workshop-Physical Activity","39","3.758","53.8","23.1","5.1","2.6",".",".",".","10.3","2.6",".","",".","",".",".","2.6",".","."
"301
001
Swim Endur&Stroke Proficncy","21","3.912","71.4","4.8","4.8",".",".",".",".","19.0",".",".",".","",".","",".",".",".","."
"308
001
Lifegrdng&Swimmng Supervisn","18","3.542","22.2","27.8","16.7",".",".",".",".","33.3",".",".",".","",".","",".",".",".","."
"310
001
Water Safety Instructor","17","3.688","41.2","47.1","5.9",".",".",".",".","5.9",".",".",".","",".","",".",".",".","."
"318
001
Topics in Martial Arts","16","3.450","31.3","6.3","18.8",".","6.3",".",".","31.3",".",".",".","",".","",".","6.3",".","."
"333
001
Leadershp-Rhythmic Aerobics","6","3.250",".","33.3","33.3",".",".",".",".","33.3",".",".",".","",".","",".",".",".","."
"362
001
Tennis III","18","3.719","55.6","16.7","16.7",".",".",".",".","11.1",".",".",".","",".","",".",".",".","."
"PE ACTIV
Dept. Total
740","1812","3.323","32.7","19.1","12.8","3.2","4.4","1.1","0.7","24.0","0.5",".","",".","",".","0.1","0.8","0.4","0.2"
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","",""
"Freshmen","231","2.995","30.7","20.3","18.2","5.6","10.0","3.9","2.2","8.2",".",".","",".","",".",".","0.4","0.4","."
"Sophomore","422","3.276","37.0","23.2","14.9","3.3","6.6","0.9","0.9","10.9","0.7",".","",".","",".",".","0.7",".","0.7"
"Junior","372","3.440","37.4","22.3","9.9","3.2","4.0","0.5","0.3","21.5","0.3",".","",".","",".",".","0.5",".","."
"Senior","555","3.457","31.0","15.3","13.2","2.7","1.4","0.9","0.2","34.1","0.7",".","",".","",".",".","0.5",".","."
"Undergraduates","1580","3.308","34.1","19.8","13.6","3.4","4.7","1.3","0.7","21.1","0.5",".","",".","",".",".","0.6","0.1","0.2"
"Special","135","3.434","25.2","13.3","6.7","3.0","4.4",".","0.7","37.0",".",".","",".","",".","0.7","3.7","4.4","0.7"
"Graduate","87","3.675","23.0","16.1","6.9",".",".",".",".","51.7","1.1",".","",".","",".",".","1.1",".","."
"Prof Yr 1","1","3.000",".",".","100.0",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Prof Yr 3","9","3.500","11.1","11.1","11.1",".",".",".",".","66.7",".",".","",".","",".",".",".",".","."
"Professionals","10","3.375","10.0","10.0","20.0",".",".",".",".","60.0",".",".","",".","",".",".",".",".","."
"Dept. Total","1812","3.323","32.7","19.1","12.8","3.2","4.4","1.1","0.7","24.0","0.5",".","",".","",".","0.1","0.8","0.4","0.2"
