"","990
018","3","***","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
019","2","***","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
020","4","***","","","","","","","","","",".",".",".","",".","",".",".","."
"Individual Research","Course Total","20","",".",".",".",".",".",".",".","100.0",".",".",".","",".","",".",".",".","."
"FRENCH
400","Dept. Total","1475","3.399","35.9","30.2","18.9","5.8","2.8","1.2","1.0","3.6",".",".",".","",".","",".","0.3","0.2","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","519","3.351","31.2","35.1","21.0","6.6","2.3","1.5","1.5",".",".",".",".","",".","",".","0.4","0.2","0.2"
"Sophomore","","255","3.348","30.6","31.4","23.9","7.5","5.1","0.8",".",".",".",".",".","",".","",".",".","0.4","0.4"
"Junior","","254","3.430","39.0","30.3","17.3","6.3","2.8","1.2","0.4","2.0",".",".",".","",".","",".","0.4",".","0.4"
"Senior","","292","3.413","42.1","24.3","19.5","4.8","3.1","1.4","1.4","3.1",".",".",".","",".","",".","0.3",".","."
"Undergraduates","","1320","3.377","35.0","31.1","20.5","6.3","3.1","1.3","1.0","1.1",".",".",".","",".","",".","0.3","0.2","0.2"
"Special","","25","3.614","56.0","32.0","4.0","4.0",".",".","4.0",".",".",".",".","",".","",".",".",".","."
"Graduate","","130","3.706","40.8","21.5","5.4","0.8",".",".","0.8","30.0",".",".",".","",".","",".",".","0.8","."
"","Dept. Total","1475","3.399","35.9","30.2","18.9","5.8","2.8","1.2","1.0","3.6",".",".",".","",".","",".","0.3","0.2","0.2"
