"MANAGEMENT AND HUMAN RE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","",""
"","300
001","239","2.935","13.0","14.2","46.0","7.1","17.6","0.8","1.3",".",".",".",".",".",".",".",".","."
"","002
300","235","2.929","13.2","10.2","47.7","12.3","13.6","2.1","0.4",".",".",".",".",".",".","0.4",".","."
"","300
003","8","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
010","131","3.131","30.5","15.3","24.4","10.7","16.8","1.5",".",".",".",".",".",".",".","0.8",".","."
"","300
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","300
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Organizational Behavior","Course Total","615","2.980","17.2","13.3","41.5","9.8","15.6","1.5","0.8",".",".",".",".",".",".","0.3",".","."
"","305
001","90","3.017","15.6","11.1","46.7","12.2","13.3",".",".",".",".",".",".",".",".",".",".","1.1"
"","305
002","74","2.757","10.8","9.5","43.2","9.5","20.3","5.4","1.4",".",".",".",".",".",".",".",".","."
"","305
003","8","3.375","25.0","25.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Resource Management","Course Total","172","2.921","14.0","11.0","45.3","10.5","15.7","2.3","0.6",".",".",".",".",".",".",".",".","0.6"
"Contemporary Topics","001
365","28","3.464","17.9","57.1","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
062","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
096","19","3.976","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
200","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Management","Course Total","21","3.978","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Management of Teams","401
001","37","3.689","56.8","27.0","13.5","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"","420
001","37","3.458","27.0","35.1","35.1",".",".",".",".",".",".",".",".",".",".",".","2.7","."
"","420
002","48","3.375","18.8","37.5","43.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Org & Mgmt Processes","Course Total","85","3.411","22.4","36.5","40.0",".",".",".",".",".",".",".",".",".",".",".","1.2","."
"Mgt:Decisn,Implmntatn&Cntrl","421
001","32","3.266","34.4","9.4","50.0",".","3.1",".","3.1",".",".",".",".",".",".",".",".","."
"Small Bus Mgmnt/Entrprshp","422
001","43","3.298","34.9","16.3","25.6","14.0","7.0",".",".","2.3",".",".",".",".",".",".",".","."
"","423
001","22","3.746","54.5","40.9","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","423
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Administrative Policy","Course Total","23","3.736","52.2","43.5","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Compensation: Theory & Adm","610
001","29","3.589","31.0","51.7","13.8",".",".",".",".","3.4",".",".",".",".",".",".",".","."
"","613
001","17","3.765","70.6","11.8","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","613
002","20","3.600","55.0","10.0","35.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hum Rsrce Skills-Managers","Course Total","37","3.676","62.2","10.8","27.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
001","21","3.214","14.3","28.6","47.6","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"","700
010","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","700
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Organizational Behavior","Course Total","27","3.000","18.5","25.9","37.0","3.7","7.4",".","7.4",".",".",".",".",".",".",".",".","."
"","001
701","45","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","701
002","51","3.784","66.7","23.5","9.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Management of Teams","Course Total","96","3.859","77.1","17.7","5.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
702","48","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
702","49","3.765","61.2","30.6","8.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leadership in Organizations","Course Total","97","3.820","72.2","19.6","8.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Issues in Management","703
001","13","3.500","23.1","53.8","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Resource Management","705
001","13","3.654","46.2","38.5","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","713
001","39","3.538","23.1","61.5","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","713
002","32","3.547","28.1","53.1","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
713","30","3.517","23.3","56.7","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 57 of 388"
