"","890
009","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"","890
040","2","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"Pre-Dissertator Research","Course Total","3","***","","","","","","","","","","","","","","","","","","",""
"Research and Thesis","990
040","2","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"E M A
346","Dept. Total","609","3.034","20.4","20.0","29.2","13.8","10.7","2.5","1.0","1.1","",".",".","",".","0.7","",".","0.3","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","8","2.750","25.0",".","37.5",".","25.0","12.5",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","189","2.965","13.8","21.2","32.8","18.0","10.1","2.6","1.1","0.5","",".",".","",".",".","",".",".",".","."
"Junior","","180","2.969","17.2","20.6","30.0","17.2","10.0","2.2","1.7",".","",".",".","",".",".","",".","1.1",".","."
"Senior","","149","2.996","24.8","18.1","25.5","10.1","17.4","2.7","0.7","0.7","",".",".","",".",".","",".",".",".","."
"Undergraduates","","526","2.971","18.3","19.8","29.8","15.2","12.4","2.7","1.1","0.4","",".",".","",".",".","",".","0.4",".","."
"Special","","10","3.056","20.0","20.0","30.0","10.0",".","10.0",".",".","",".",".","",".",".","",".",".","10.0","."
"Graduate","","73","3.516","35.6","21.9","24.7","4.1",".",".",".","6.8","",".",".","",".","5.5","",".",".","1.4","."
"","Dept. Total","609","3.034","20.4","20.0","29.2","13.8","10.7","2.5","1.0","1.1","",".",".","",".","0.7","",".","0.3","0.3","."
