"HEBREW (HEBREW AND SEMITI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"440
HEBR ST","","","","","","","","","","","","","","","","","","",""
"","101
001","14","3.393","35.7","21.4","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","101
002","15","3.500","66.7","13.3",".","6.7","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"","101
003","17","3.500","58.8","11.8","5.9","17.6","5.9",".",".",".",".",".",".",".",".",".",".","."
"","101
004","15","3.536","46.7","13.3","26.7","6.7",".",".",".",".",".",".",".",".",".","6.7",".","."
"First Semester Hebrew","Course Total","61","3.483","52.5","14.8","14.8","11.5","3.3","1.6",".",".",".",".",".",".",".","1.6",".","."
"Biblical Hebrew-First Sem","103
001","7","3.000","57.1",".",".","28.6",".",".","14.3",".",".",".",".",".",".",".",".","."
"","201
001","17","3.048","29.4","17.6","17.6","17.6","5.9",".","5.9","5.9",".",".",".",".",".",".",".","."
"","002
201","16","3.393","31.3","31.3",".","25.0",".",".",".","12.5",".",".",".",".",".",".",".","."
"Third Semester Hebrew","Course Total","33","3.210","30.3","24.2","9.1","21.2","3.0",".","3.0","9.1",".",".",".",".",".",".",".","."
"Intro to Biblical Lit","217
001","22","2.818","9.1","22.7","27.3","22.7","13.6",".","4.5",".",".",".",".",".",".",".",".","."
"Biblical Poetry in Translation","237
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Biblical Archaeology","241
001","17","2.875","5.9","23.5","47.1",".","11.8",".","5.9","5.9",".",".",".",".",".",".",".","."
"Intro to Hebrew Literature","301
001","14","3.488","50.0","14.3","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Biblical Hebrew-First Sem","303
001","7","3.500","28.6",".","28.6",".",".",".",".","28.6",".",".",".",".",".",".","14.3","."
"Biblical Texts","323
001","9","3.471","22.2","66.7",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Jewish Cultural History","369
001","71","3.092","19.7","19.7","35.2","11.3","4.2",".","4.2","5.6",".",".",".",".",".",".",".","."
"Survey of Modern Hebrew Lit","401
001","12","3.682","58.3","16.7","8.3","8.3",".",".",".","8.3",".",".",".",".",".",".",".","."
"Biblical Archaeology","451
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"BIblical Texts, Poetry","513
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdgs-Contemp Hebrew Lit","533
001","18","3.777","61.1","33.3","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Aramaic I","601
001","12","3.667","58.3","25.0","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"The Book of Ezekiel","641
001","6","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Biblical Studies","001
951","11","2.800","27.3",".","36.4",".","18.2",".","9.1","9.1",".",".",".",".",".",".",".","."
"","990
011","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
014","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"HEBR ST
440","Dept. Total","322","3.274","33.5","20.5","20.2","10.9","4.3","0.6","2.8","6.5",".",".",".",".",".","0.3","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"440
HEBR ST","","","","","","","","","","","","","","","","","","",""
"Freshmen","","46","3.377","41.3","17.4","23.9","15.2",".","2.2",".",".",".",".",".",".",".",".",".","."
"Sophomore","","81","3.124","30.9","22.2","17.3","17.3","4.9",".","6.2",".",".",".",".",".",".","1.2",".","."
"Junior","","70","3.295","32.9","18.6","25.7","8.6","2.9",".","2.9","7.1",".",".",".",".",".",".","1.4","."
"Senior","","60","3.184","31.7","18.3","21.7","11.7","8.3","1.7","1.7","5.0",".",".",".",".",".",".",".","."
"Undergraduates","","257","3.230","33.5","19.5","21.8","13.2","4.3","0.8","3.1","3.1",".",".",".",".",".","0.4","0.4","."
"Special","","12","3.641","50.0","16.7","8.3","8.3",".",".",".","16.7",".",".",".",".",".",".",".","."
"Graduate","","53","3.463","30.2","26.4","15.1",".","5.7",".","1.9","20.8",".",".",".",".",".",".",".","."
"","Dept. Total","322","3.274","33.5","20.5","20.2","10.9","4.3","0.6","2.8","6.5",".",".",".",".",".","0.3","0.3","."
