"Adv Pract-Genetic Counselng","","","","","","","","","","","","","","","","","","","","","","","","",""
"Research","990
048","5","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Seminar in Genetics","993
001","5","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Independent Work","999
048","5","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"MD GENET
616","Dept. Total","157","3.864","75.8","14.6","1.9","0.6","",".","",".","0.6","6.4","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"616
MD GENET","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","8","4.000","100.0",".",".",".","",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","33","3.984","97.0","3.0",".",".","",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","29","3.848","96.6",".",".",".","",".","",".","3.4",".","",".",".","",".","",".","",".",".",".","."
"Senior","","29","3.944","93.1","3.4","3.4",".","",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","99","3.934","96.0","2.0","1.0",".","",".","",".","1.0",".","",".",".","",".","",".","",".",".",".","."
"Special","","7","3.571","14.3","85.7",".",".","",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","51","3.664","45.1","29.4","3.9","2.0","",".","",".",".","19.6","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","157","3.864","75.8","14.6","1.9","0.6","",".","",".","0.6","6.4","",".",".","",".","",".","",".",".",".","."
