"AFRO-AMERICAN STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"106
AFROAMER","","","","","","","","","","","","","","","","","","","",""
"Intro-Contemp Afro-Am Soc","151","001","86","3.135","9.3","38.4","31.4","14.0","4.7",".","1.2","1.2",".",".",".",".",".",".",".","."
"Intro to Afro-Am History","231","001","116","2.878","17.2","12.9","30.2","16.4","17.2","5.2",".",".",".",".",".",".",".",".",".","0.9"
"Intro-Africn Art&Architectr","241","001","63","3.131","19.0","23.8","30.2","17.5","4.8",".","1.6",".",".",".",".",".","1.6",".","1.6","."
"Economics of Black America","261","001","7","3.083",".","28.6","42.9","14.3",".",".",".","14.3",".",".",".",".",".",".",".","."
"Intro Lit Rel:Afr Diaspora","262","001","24","3.896","91.7","4.2",".",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"Black Autobiography","265","001","59","3.398","20.3","44.1","30.5","5.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Lit:18c-Harlm Renaiss","267","001","95","3.404","25.3","42.1","20.0","10.5","1.1",".",".",".",".",".",".",".",".","1.1",".","."
"Africa: Introductory Survey","277","001","26","3.154","11.5","26.9","46.2","11.5","3.8",".",".",".",".",".",".",".",".",".",".","."
"Undergrad St-Afroam History","302","001","66","3.203","30.3","24.2","22.7","3.0","12.1","4.5",".","1.5",".",".",".",".","1.5",".",".","."
"Afro-Am Mus:17th C-Present","316","001","43","3.186","16.3","30.2","30.2","20.9","2.3",".",".",".",".",".",".",".",".",".",".","."
"Gender, Race & Class","323","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro:History-Caribbean Soc","347","001","25","2.875","8.0","20.0","32.0","20.0","12.0","4.0",".",".",".",".",".",".",".",".","4.0","."
"Artistc/Cult Image-Bl Women","366","001","25","3.333","32.0","28.0","20.0","4.0","12.0",".",".","4.0",".",".",".",".",".",".",".","."
"Black Feminisms","423","001","9","3.278","33.3","11.1","44.4",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Mutl Perceptns-Racl Minorty","443","001","11","3.100","9.1","36.4","9.1","36.4",".",".",".",".",".",".",".",".","9.1",".",".","."
"Race, Class&Social Conflict","461","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Crit&Theor Iss: Afro-Am Lit","605","001","17","3.313","47.1","5.9","23.5","5.9","5.9","5.9",".",".",".",".",".",".",".",".",".","5.9"
"Hist-Civ Rghts Movmnt in US","628","001","25","3.180","32.0","28.0","12.0","8.0","16.0","4.0",".",".",".",".",".",".",".",".",".","."
"Afro-Amer History to 1900","635","001","19","3.105","26.3","21.1","31.6","10.5",".","10.5",".",".",".",".",".",".",".",".",".","."
"Topics in Afro-Am History","671","001","19","3.353","36.8","21.1","26.3",".",".",".","5.3","5.3",".",".",".",".",".","5.3",".","."
"Topics on Afro-Amer Artists","674","001","6","2.333","16.7",".","33.3",".","33.3",".","16.7",".",".",".",".",".",".",".",".","."
"Topics in Afro-Amer Culture","675","001","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","691","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","3","***","","","","","","","","","","","","","","","",""
"","699","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","13","3.381","46.2","15.4","23.1","7.7",".",".","7.7",".",".",".",".",".",".",".",".","."
"Directed Study-Afro-Am Stdy","","Course Total","18","3.574","61.1","11.1","16.7","5.6",".",".","5.6",".",".",".",".",".",".",".",".","."
"","790","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","3","***","","","","","","","","","","","","","","","",""
