"ITALIAN (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","",""
"","101
001","21","3.425","33.3","28.6","23.8","4.8","4.8",".",".","4.8",".",".",".",".",".",".",".","."
"","101
002","19","3.289","21.1","36.8","21.1","21.1",".",".",".",".",".",".",".",".",".",".",".","."
"","101
003","16","3.281","18.8","31.3","43.8",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","101
004","15","3.133","26.7","20.0","40.0","6.7",".",".","6.7",".",".",".",".",".",".",".",".","."
"","005
101","18","3.417","33.3","38.9","11.1","11.1","5.6",".",".",".",".",".",".",".",".",".",".","."
"","006
101","18","3.111","22.2","22.2","38.9",".","11.1","5.6",".",".",".",".",".",".",".",".",".","."
"","007
101","21","3.310","33.3","28.6","14.3","14.3","9.5",".",".",".",".",".",".",".",".",".",".","."
"","101
008","20","3.350","50.0","20.0","15.0",".","10.0",".","5.0",".",".",".",".",".",".",".",".","."
"","101
009","21","3.167","19.0","19.0","52.4","4.8",".","4.8",".",".",".",".",".",".",".",".",".","."
"","101
011","22","3.341","36.4","18.2","36.4","4.5",".","4.5",".",".",".",".",".",".",".",".",".","."
"","101
012","20","3.350","35.0","15.0","35.0","15.0",".",".",".",".",".",".",".",".",".",".",".","."
"","014
101","15","3.464","33.3","40.0","6.7","6.7","6.7",".",".",".","6.7",".",".",".",".",".",".","."
"","101
015","21","3.238","23.8","23.8","38.1","4.8","9.5",".",".",".",".",".",".",".",".",".",".","."
"","101
016","23","3.158","21.7","8.7","30.4","17.4","4.3",".",".","17.4",".",".",".",".",".",".",".","."
"First Semester Italian","Course Total","270","3.288","29.3","24.4","29.3","8.1","4.8","1.1","0.7","1.9","0.4",".",".",".",".",".",".","."
"","002
102","18","3.029","22.2","16.7","33.3","11.1","5.6",".","5.6",".",".",".",".",".","5.6",".",".","."
"","102
004","20","3.525","55.0","15.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","102
006","22","3.227","31.8","22.7","31.8","4.5","4.5",".","4.5",".",".",".",".",".",".",".",".","."
"","102
010","19","3.417","36.8","21.1","26.3","5.3","5.3",".",".",".",".",".",".",".",".","5.3",".","."
"","013
102","11","3.091","18.2","18.2","36.4","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Italian","Course Total","90","3.278","34.4","18.9","26.7","11.1","4.4",".","2.2",".",".",".",".",".","1.1","1.1",".","."
"","201
001","25","3.640","60.0","20.0","12.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"","002
201","24","3.652","54.2","20.8","16.7","4.2",".",".",".","4.2",".",".",".",".",".",".",".","."
"Ital-Speakrs of Romanc Lang","Course Total","49","3.646","57.1","20.4","14.3","4.1","2.0",".",".","2.0",".",".",".",".",".",".",".","."
"","001
203","17","3.118","35.3","5.9","29.4","17.6","5.9","5.9",".",".",".",".",".",".",".",".",".","."
"","002
203","11","3.350","27.3","27.3","27.3",".","9.1",".",".","9.1",".",".",".",".",".",".",".","."
"","203
004","17","2.900","17.6","23.5","5.9","17.6","17.6","5.9",".","11.8",".",".",".",".",".",".",".","."
"","203
006","23","2.818","13.0","17.4","21.7","26.1","13.0",".","4.3",".",".",".",".",".",".","4.3",".","."
"","203
008","12","2.909","16.7","16.7","8.3","33.3","16.7",".",".","8.3",".",".",".",".",".",".",".","."
"Third Semester Italian","Course Total","80","2.987","21.3","17.5","18.8","20.0","12.5","2.5","1.3","5.0",".",".",".",".",".","1.3",".","."
"","204
001","8","3.071","25.0","37.5","12.5",".",".",".","12.5","12.5",".",".",".",".",".",".",".","."
"","204
003","14","3.458","28.6","28.6","21.4","7.1",".",".",".","7.1",".",".",".",".",".",".","7.1","."
"Fourth Semester Italian","Course Total","22","3.316","27.3","31.8","18.2","4.5",".",".","4.5","9.1",".",".",".",".",".",".","4.5","."
"Adv Compostn&Converstn","311
001","15","3.643","46.7","26.7","20.0",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Intro to Italian Literature","321
001","11","3.459","36.4","27.3","27.3",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Structures of Italian","340
001","15","3.393","26.7","26.7","33.3","6.7",".",".",".","6.7",".",".",".",".",".",".",".","."
"Il Rinascimento","651
001","17","3.500","35.3","29.4","23.5","5.9",".",".",".","5.9",".",".",".",".",".",".",".","."
"Independent Study","799
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Romance Philology","817
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","951
001","10","3.786","60.0",".",".","10.0",".",".",".","30.0",".",".",".",".",".",".",".","."
"","951
002","8","3.750","75.0","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Studies in Italian Lit","Course Total","18","3.767","66.7","5.6",".","11.1",".",".",".","16.7",".",".",".",".",".",".",".","."
"","990
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 231 of 388",""
