"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"EGR","","","","","","","","","","","","","","","","","","","","",""
"INDUSTRIAL & SYSTEMS ENGR","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"490
I SY E","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","17","3.882","94.1",".",".",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Engineerng Economc Analysis","313","001","","91","3.650","60.4","19.8","9.9","5.5","3.3",".",".",".",".",".",".",".","1.1",".",".","."
"Simulatn&Probablstc Modelng","320","001","","36","3.657","58.3","27.8","8.3",".",".",".","2.8","2.8",".",".",".",".",".",".",".","."
"","321","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321","002","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321","003","","9","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Simulation Modeling Lab","","Course Total","","35","4.000","97.1",".",".",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"Oper Rsch-Determnstc Modelg","323","001","","68","3.110","23.5","22.1","17.6","29.4","5.9","1.5",".",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349","001","","45","3.722","68.9","17.8","8.9","2.2",".","2.2",".",".",".",".",".",".",".",".",".","."
"Intro-Manufac Sys,Dsgn&Anal","415","001","","42","3.256","19.0","33.3","23.8","14.3",".","2.4",".","7.1",".",".",".",".",".",".",".","."
"Theory of Design I","466","001","","32","3.344","37.5","9.4","37.5","15.6",".",".",".",".",".",".",".",".",".",".",".","."
"Industrial Engr Projects","476","001","","18","3.844","66.7","16.7","5.6",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Facilities Planning","510","001","","43","3.512","30.2","55.8","11.6",".",".",".","2.3",".",".",".",".",".",".",".",".","."
"Inspectn,Qual Cntrl&Relblty","512","001","","49","3.143","24.5","14.3","38.8","10.2","12.2",".",".",".",".",".",".",".",".",".",".","."
"Engr Mgt-Cont Proc Imprvmnt","515","001","","49","3.765","65.3","22.4","12.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Decision Analysis","516","001","","28","3.161","17.9","39.3","21.4","7.1","10.7","3.6",".",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Hum Factors Engr Dsgn&Eval","552","001","","21","3.524","38.1","28.6","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Perform&Accidnt Cause","555","001","","28","3.519","35.7","35.7","21.4",".","3.6",".",".","3.6",".",".",".",".",".",".",".","."
"Intro-Quality Engineering","575","001","","44","3.302","47.7","2.3","31.8","2.3","9.1","4.5",".","2.3",".",".",".",".",".",".",".","."
"Cmptr Integratd Manufactrng","605","001","","48","3.615","50.0","22.9","27.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Sim Model&Analy-Ind Eng Sys","642","001","","27","3.852","81.5","7.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Performnc Anal-Manufact Sys","643","001","","12","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Organization and Job Design","653","001","","56","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managing Tech Chng-Mfg Syst","658","001","","11","3.591","18.2","81.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","691","002","","11","3.545","45.5","27.3","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","691","004","","45","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","691","005","","8","3.429","50.0","25.0",".",".",".","12.5",".",".",".",".",".",".","12.5",".",".","."
"Spec Topics Industrial Engr","","Course Total","","64","3.866","79.7","12.5","3.1","1.6",".","1.6",".",".",".",".",".",".","1.6",".",".","."
"","699","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","026","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","033","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","046","","6","3.571","50.0",".","16.7","16.7",".",".",".",".",".",".",".",".","16.7",".",".","."
"","699","146","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","","Course Total","","27","3.873","77.8","3.7","3.7","3.7",".",".",".","3.7",".",".",".",".","7.4",".",".","."
"Integer Programming","720","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Nonlinear Progrmg Thry&Appl","726","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","Page 125 of 388",""
