"TERM : 1002","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 1999-2000","","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","","",""
"LIBRARY & INFORMATION STUD Section","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","","","","","",""
"L I S
Dept. Total
544","463","3.767","58.5","28.7","7.6",".","",".","",".","",".","3.7","",".",".","",".","",".","1.1","0.2","0.2","."
"Summary by Level","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","4","3.750","50.0","50.0",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","2","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","6","3.833","66.7","33.3",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Special","28","3.720","46.4","35.7","7.1",".","",".","",".","",".","7.1","",".",".","",".","",".",".",".","3.6","."
"Graduate","429","3.769","59.2","28.2","7.7",".","",".","",".","",".","3.5","",".",".","",".","",".","1.2","0.2",".","."
"Dept. Total","463","3.767","58.5","28.7","7.6",".","",".","",".","",".","3.7","",".",".","",".","",".","1.1","0.2","0.2","."
