"TERM : 1002","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 1999-2000","","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","",""
"POPULATION HEALTH SCIENCE Section","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","","","","","",""
"POP HLTH
Dept. Total
810","375","3.802","60.3","18.7","6.9","0.5","",".","",".","",".","9.3","",".",".","",".","",".","3.7",".","0.3","0.3"
"Summary by Level","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Junior","6","3.385","33.3","16.7","33.3","16.7","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","11","3.596","45.5","27.3","27.3",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","18","3.560","44.4","22.2","27.8","5.6","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Special","16","3.788","62.5","25.0","6.3",".","",".","",".","",".",".","",".",".","",".","",".","6.3",".",".","."
"Graduate","329","3.821","60.5","18.8","5.5","0.3","",".","",".","",".","10.6","",".",".","",".","",".","4.0",".",".","0.3"
"Prof Yr 1","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 2","4","4.000","75.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".","25.0","."
"Prof Yr 3","2","3.333","50.0",".","50.0",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","5","3.833","80.0",".","20.0",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","12","3.769","75.0",".","16.7",".","",".","",".","",".",".","",".",".","",".","",".",".",".","8.3","."
"Dept. Total","375","3.802","60.3","18.7","6.9","0.5","",".","",".","",".","9.3","",".",".","",".","",".","3.7",".","0.3","0.3"
