"HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"Amer Hist to Civil War Era","101","001","68","3.231","19.1","35.3","25.0","13.2","4.4","1.5",".",".",".",".",".",".",".","1.5",".","."
"","102","001","151","3.161","15.9","29.1","37.1","6.6","9.3",".","0.7","0.7",".",".",".",".",".","0.7",".","."
"","102","002","203","3.151","16.3","31.0","31.0","13.3","3.9","1.0","1.5","1.5",".",".",".",".",".","0.5",".","."
"Amer Hist-Civil War-Present","","Course Total","354","3.155","16.1","30.2","33.6","10.5","6.2","0.6","1.1","1.1",".",".",".",".",".","0.6",".","."
"Intro-E Asian History:China","103","001","78","2.987","6.4","26.9","42.3","14.1","5.1","2.6","1.3","1.3",".",".",".",".",".",".",".","."
"Invasions&Empires:Cent Asia","106","001","29","3.172","17.2","24.1","44.8","10.3",".","3.4",".",".",".",".",".",".",".",".",".","."
"The Ancient Mediterranean","110","001","64","3.217","32.8","26.6","14.1","12.5","4.7","3.1","3.1","3.1",".",".",".",".",".",".",".","."
"Medieval Europe 410-1500","115","001","72","3.186","18.1","36.1","18.1","12.5","6.9","1.4","1.4","1.4",".",".",".",".",".","1.4",".","2.8"
"Modern Europe 1500-1815","119","001","77","3.282","20.8","42.9","20.8","5.2","5.2","1.3","1.3",".",".",".",".",".",".","1.3","1.3","."
"Europe&Mod World 1815-On","120","001","65","3.193","15.4","26.2","36.9","13.8","3.1",".",".","3.1",".",".",".",".",".","1.5",".","."
"English History to 1688","123","001","70","3.206","15.7","37.1","30.0","8.6","2.9","1.4","1.4","1.4",".",".",".",".",".",".",".","1.4"
"Amer Histories: 19th Century","150","001","139","3.112","15.8","26.6","34.5","14.4","6.5",".","1.4","0.7",".",".",".",".",".",".",".","."
"","199","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","089","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","200","001","12","2.875","16.7","25.0","8.3","33.3","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"","200","002","17","2.941","5.9","35.3","29.4","23.5",".",".","5.9",".",".",".",".",".",".",".",".","."
"Historical Studies","","Course Total","29","2.914","10.3","31.0","20.7","27.6","3.4","3.4","3.4",".",".",".",".",".",".",".",".","."
"Islam Wrld:MidEast,500-1500","205","001","55","3.277","30.9","25.5","27.3","3.6","9.1",".","1.8","1.8",".",".",".",".",".",".",".","."
"Westrn Relig&Intellect Hist","208","001","46","3.211","13.0","37.0","37.0","8.7",".",".","2.2","2.2",".",".",".",".",".",".",".","."
"Exploration-European Hist (H)","223","001","35","3.417","22.9","40.0","37.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Exploration-European Hist (S)","224","000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","50","2.860","12.0","22.0","24.0","18.0","20.0","4.0",".",".",".",".",".",".",".",".",".","."
"American Business History","247","001","62","3.310","16.1","40.3","35.5","4.8","3.2",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","58","3.307","20.7","39.7","27.6","6.9","1.7",".","1.7","1.7",".",".",".",".",".",".",".","."
"Social&Intel Hist 1200-1450","318","001","58","3.087","19.0","24.1","19.0","22.4","10.3",".",".","1.7",".",".",".",".",".",".","1.7","1.7"
"The Vietnam Wars","319","001","157","3.403","30.6","33.1","24.2","2.5","2.5",".","1.9","4.5",".",".",".",".",".",".","0.6","."
"Sci Revol:Copernicus-Newton","323","001","11","2.400","18.2","9.1","18.2","9.1","9.1","18.2","9.1","9.1",".",".",".",".",".",".",".","."
"Rev&Fascism Spain,Ital,Port","340","001","35","3.179","22.9","22.9","31.4","14.3","2.9","2.9",".",".",".",".",".",".",".","2.9",".","."
"American Rev 1763-1789","344","001","138","3.259","26.1","27.5","28.3","6.5","4.3","0.7","2.2","2.9",".",".",".",".",".",".","1.4","."
"Politcl Hist-Modrn Olympics","346","001","149","3.001","8.1","24.2","36.9","20.1","9.4",".",".","0.7",".",".",".",".",".","0.7",".","."
"Intro:History-Caribbean Soc","347","001","36","3.236","25.0","36.1","13.9","11.1","13.9",".",".",".",".",".",".",".",".",".",".","."
"Contemp France 1914-Present","349","001","49","2.850","6.1","16.3","36.7","16.3","18.4",".",".","2.0",".",".",".",".","2.0","2.0",".","."
"Seventeenth-Century Europe","351","001","39","3.156","15.4","23.1","33.3","20.5","2.6",".",".","2.6",".",".",".",".",".","2.6",".","."
"Europe Betwn Wars,1919-1939","356","001","129","3.061","14.0","31.0","29.5","13.2","6.2","1.6","3.1","1.6",".",".",".",".",".",".",".","."
"French Revolution 1685-1799","358","001","63","2.887","11.1","28.6","22.2","19.0","4.8","4.8","4.8","3.2",".",".",".",".",".","1.6",".","."
"The Anglo-Saxons","360","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Rev&Natlism-Ireland,1780-On","365","001","138","3.207","23.2","26.8","28.3","9.4","8.7","0.7","0.7",".",".",".",".",".",".","0.7","0.7","0.7"
"History of Africa to 1500","376","001","36","2.628",".","8.3","27.8","38.9","22.2",".",".","2.8",".",".",".",".",".",".",".","."
"Hist of Africa Since 1870","378","001","65","3.132","12.3","38.5","30.8","6.2","3.1",".","4.6","4.6",".",".",".",".",".",".",".","."
"Jefferson&Jackson,1789-1848","391","001","73","3.514","30.1","49.3","11.0","4.1","2.7",".",".","2.7",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 219 of 388",""
