"PHILOSOPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","",""
"","101
001","74","3.291","29.7","24.3","25.7","14.9","5.4",".",".",".",".",".",".",".",".",".",".","."
"","101
002","71","2.866","14.1","12.7","26.8","31.0","14.1",".","1.4",".",".",".",".",".",".",".",".","."
"","003
101","90","2.961","16.7","21.1","28.9","15.6","12.2","2.2","2.2",".",".",".",".",".",".",".","1.1","."
"","101
004","58","3.466","41.4","32.8","20.7","1.7",".",".","3.4",".",".",".",".",".",".",".",".","."
"","101
005","70","3.058","15.7","34.3","15.7","14.3","17.1","1.4",".","1.4",".",".",".",".",".",".",".","."
"Introduction to Philosophy","Course Total","363","3.109","22.6","24.5","24.0","16.0","10.2","0.8","1.4","0.3",".",".",".",".",".",".","0.3","."
"First Course for Honors","181
001","23","3.609","43.5","34.8","21.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
001","68","3.007","23.5","13.2","23.5","23.5","14.7","1.5",".",".",".",".",".",".",".",".",".","."
"","002
210","19","3.474","68.4",".","15.8",".","10.5","5.3",".",".",".",".",".",".",".",".",".","."
"","003
210","88","2.960","15.9","14.8","38.6","11.4","14.8","3.4",".","1.1",".",".",".",".",".",".",".","."
"Reason in Communication","Course Total","175","3.034","24.6","12.6","30.3","14.9","14.3","2.9",".","0.6",".",".",".",".",".",".",".","."
"","211
001","76","3.240","40.8","18.4","19.7","10.5","1.3","3.9","3.9","1.3",".",".",".",".",".",".",".","."
"","211
002","59","3.185","28.8","18.6","23.7","1.7","16.9","1.7",".","6.8",".",".",".",".",".",".","1.7","."
"","003
211","66","3.242","33.3","24.2","25.8","6.1","4.5","4.5","1.5",".",".",".",".",".",".",".",".","."
"Elementary Logic","Course Total","201","3.226","34.8","20.4","22.9","6.5","7.0","3.5","2.0","2.5",".",".",".",".",".",".","0.5","."
"","001
241","82","2.963","14.6","19.5","31.7","14.6","14.6","1.2","1.2","2.4",".",".",".",".",".",".",".","."
"","241
002","14","2.821","7.1","28.6","21.4","21.4","14.3","7.1",".",".",".",".",".",".",".",".",".","."
"Introductory Ethics","Course Total","96","2.941","13.5","20.8","30.2","15.6","14.6","2.1","1.0","2.1",".",".",".",".",".",".",".","."
"Philosophy of the Arts","253
001","66","3.098","25.8","24.2","12.1","15.2","10.6","3.0","1.5","3.0",".",".",".",".",".","4.5",".","."
"Humanity, Religion&Society","258
001","46","3.360","30.4","26.1","21.7","10.9","4.3",".",".","2.2",".",".",".",".",".",".","4.3","."
"","341
001","96","3.077","5.2","31.3","44.8","13.5","2.1","2.1",".","1.0",".",".",".",".",".",".",".","."
"","002
341","98","3.628","58.2","20.4","13.3","5.1","3.1",".",".",".",".",".",".",".",".",".",".","."
"","091
341","17","3.294","35.3","23.5","17.6","11.8","11.8",".",".",".",".",".",".",".",".",".",".","."
"","341
092","18","3.765","61.1","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","5.6","."
"","341
093","16","3.750","68.8","25.0",".",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","341
094","20","3.579","45.0","25.0","20.0","5.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"","341
095","17","3.853","70.6","29.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
096","14","3.643","35.7","57.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Moral Issues","Course Total","296","3.456","39.2","27.0","22.3","7.1","2.7","0.7",".","0.7",".",".",".",".",".",".","0.3","."
"Hist of Ancient Philosophy","430
001","51","3.112","11.8","23.5","49.0","5.9","3.9",".","2.0",".",".",".",".",".",".","3.9",".","."
"History-Modern Philosophy","432
001","64","2.943","26.6","21.9","12.5","10.9","12.5","7.8","3.1",".",".",".",".",".","1.6",".","3.1","."
"French Philos-Existentialsm","440
001","47","3.022","14.9","27.7","31.9","10.6","8.5",".","4.3","2.1",".",".",".",".",".",".",".","."
"Environmental Ethics","441
001","40","3.138","7.5","32.5","42.5","15.0","2.5",".",".",".",".",".",".",".",".",".",".","."
"Classical Philosophers","454
001","11","3.591","18.2","81.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Junior Honors Seminar","481
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Junior Honors Seminar","482
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Theory of Knowledge","503
001","20","3.053","5.0","45.0","30.0","5.0","5.0",".","5.0","5.0",".",".",".",".",".",".",".","."
"Symbolic Logic","511
001","34","3.529","52.9","20.6","17.6","2.9","2.9","2.9",".",".",".",".",".",".",".",".",".","."
"Language and Meaning","516
001","18","3.118","22.2","27.8","22.2","16.7",".",".","5.6",".",".",".",".",".","5.6",".",".","."
"Philos of Natural Sciences","520
001","21","3.429","33.3","28.6","28.6","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Philosophies of Ed","001
540","11","3.500","27.3","45.5","9.1","9.1",".",".",".",".",".",".",".",".",".","9.1",".","."
"Modern Ethical Theories","541
001","19","3.605","42.1","36.8","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Philosophy of Mind","551
001","36","3.434","33.3","36.1","22.2","2.8",".",".","2.8","2.8",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 263 of 388",""
