"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Life Contingencies I","650
001","","13","2.667","15.4","7.7","30.8","7.7","15.4","15.4",".","",".","",".","",".",".","",".","",".","","7.7",".","."
"Risk Theory and Credibility","652
002","","14","3.615","42.9","28.6","21.4",".",".",".",".","",".","",".","",".",".","",".","",".","","7.1",".","."
"ACT SCI
242","Dept. Total","","27","3.160","29.6","18.5","25.9","3.7","7.4","7.4","",".","",".","",".",".","",".","",".","",".","7.4",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","1","3.000",".",".","100.0",".",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","23","3.071","26.1","17.4","26.1","4.3","8.7","8.7","",".","",".","",".",".","",".","",".","",".","8.7",".","."
"Undergraduates","","","24","3.068","25.0","16.7","29.2","4.2","8.3","8.3","",".","",".","",".",".","",".","",".","",".","8.3",".","."
"Graduate","","","3","3.833","66.7","33.3",".",".",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","27","3.160","29.6","18.5","25.9","3.7","7.4","7.4","",".","",".","",".",".","",".","",".","",".","7.4",".","."
