"PHYSICAL EDUC ACTIVITY PRO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","",""
"Exercise,Nutrition,&Health","100
001","206","2.555","10.7","14.1","18.9","12.1","30.1","8.7","2.4","1.9",".",".",".",".",".","0.5","0.5","."
"","102
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","002
102","13","3.950","69.2","7.7",".",".",".",".",".","23.1",".",".",".",".",".",".",".","."
"Beginning Swimming","Course Total","17","3.885","58.8","17.6",".",".",".",".",".","17.6",".",".",".",".",".","5.9",".","."
"","111
001","21","3.763","47.6","42.9",".",".",".",".",".","9.5",".",".",".",".",".",".",".","."
"","111
002","22","3.750","45.5","45.5",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Self-defense&Assault Prevnt","Course Total","43","3.756","46.5","44.2",".",".",".",".",".","9.3",".",".",".",".",".",".",".","."
"Adapted Fitness&Pers Traing","125
001","55","4.000","21.8",".",".",".",".",".",".","69.1",".",".",".",".",".",".","9.1","."
"","127
001","20","3.500","20.0","20.0","20.0",".",".",".",".","40.0",".",".",".",".",".",".",".","."
"","127
002","16","3.533","37.5","25.0","31.3",".",".",".",".",".",".",".",".",".",".","6.3",".","."
"","003
127","23","3.200","4.3","21.7","34.8","4.3",".",".",".","30.4","4.3",".",".",".",".",".",".","."
"","004
127","23","2.667",".","13.0","8.7","4.3","8.7","4.3",".","60.9",".",".",".",".",".",".",".","."
"Bowling I","Course Total","82","3.275","13.4","19.5","23.2","2.4","2.4","1.2",".","35.4","1.2",".",".",".",".","1.2",".","."
"","129
001","25","3.800","28.0","8.0","4.0",".",".",".",".","60.0",".",".",".",".",".",".",".","."
"","002
129","30","3.778","83.3",".",".",".","3.3",".","3.3","10.0",".",".",".",".",".",".",".","."
"","129
003","34","3.960","70.6",".","2.9",".",".",".",".","23.5",".",".",".",".",".","2.9",".","."
"Intro to Yoga Practice","Course Total","89","3.855","62.9","2.2","2.2",".","1.1",".","1.1","29.2",".",".",".",".",".","1.1",".","."
"Running (Aerobic Fitness)","130
001","19","3.656","47.4","21.1","10.5","5.3",".",".",".","15.8",".",".",".",".",".",".",".","."
"","131
001","14","3.056","7.1","35.7","14.3",".",".",".","7.1","28.6","7.1",".",".",".",".",".",".","."
"","131
002","21","3.278","23.8","4.8","9.5",".",".",".","4.8","57.1",".",".",".",".",".",".",".","."
"","131
003","18","2.917","5.6","22.2","22.2","11.1",".",".","5.6","16.7","11.1",".",".",".",".",".",".","5.6"
"Cross Traing-Basic Fitness","Course Total","53","3.067","13.2","18.9","15.1","3.8",".",".","5.7","35.8","5.7",".",".",".",".",".",".","1.9"
"","132
001","17","3.650","35.3","17.6",".",".","5.9",".",".","29.4","5.9",".",".",".",".",".",".","5.9"
"","002
132","21","3.900","42.9",".","4.8",".",".",".",".","47.6",".",".",".",".",".","4.8",".","."
"","132
003","23","3.455","21.7","13.0","4.3","4.3","4.3",".",".","52.2",".",".",".",".",".",".",".","."
"","132
004","24","3.619","25.0","58.3","4.2",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","132
005","15","3.500","6.7","73.3","6.7",".",".",".",".","13.3",".",".",".",".",".",".",".","."
"","132
006","19","3.042","21.1","26.3","5.3",".",".",".","10.5","36.8",".",".",".",".",".",".",".","."
"","132
007","25","3.750","36.0","12.0","8.0",".",".",".",".","44.0",".",".",".",".",".",".",".","."
"","132
008","21","3.000","9.5","14.3","33.3","4.8","4.8","4.8",".","28.6",".",".",".",".",".",".",".","."
"","009
132","21","3.400","33.3","9.5","19.0",".","9.5",".",".","23.8","4.8",".",".",".",".",".",".","."
"","132
010","22","3.500","9.1","31.8","9.1",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"Weight Training","Course Total","208","3.473","24.5","24.5","9.6","1.0","2.4","0.5","1.0","34.6","1.0",".",".",".",".","0.5",".","0.5"
"","001
133","21","3.382","33.3","14.3","19.0","9.5","4.8",".",".","14.3",".",".",".",".",".","4.8",".","."
"","133
002","22","3.658","50.0","18.2","13.6","4.5",".",".",".","13.6",".",".",".",".",".",".",".","."
"","133
003","23","3.639","47.8","17.4",".","13.0",".",".",".","13.0","4.3",".",".",".",".","4.3",".","."
"","133
004","22","3.647","36.4","27.3","13.6",".",".",".",".","22.7",".",".",".",".",".",".",".","."
"","133
005","23","3.700","34.8","13.0","13.0",".",".",".",".","34.8",".",".",".",".",".","4.3",".","."
"Rhythmic/Step Aerobics","Course Total","111","3.605","40.5","18.0","11.7","5.4","0.9",".",".","19.8","0.9",".",".",".",".","2.7",".","."
"","134
001","19","3.559","42.1","21.1","21.1","5.3",".",".",".","10.5",".",".",".",".",".",".",".","."
"","134
002","17","3.750","29.4","29.4",".",".",".",".",".","41.2",".",".",".",".",".",".",".","."
"","134
003","17","3.700","23.5","35.3",".",".",".",".",".","41.2",".",".",".",".",".",".",".","."
"","004
134","17","3.727","52.9",".","5.9",".","5.9",".",".","35.3",".",".",".",".",".",".",".","."
"","134
005","18","3.344","16.7","33.3","33.3","5.6",".",".",".","11.1",".",".",".",".",".",".",".","."
