"","990
044","3","***","","","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
047","3","***","","","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
051","3","***","","","","","","","","","","","",".",".",".","",".","",".",".","."
"Research and Thesis","Course Total","11","",".",".",".",".",".","",".","",".","100.0",".",".",".","",".","",".",".",".","."
"ANATOMY
144","Dept. Total","352","3.611","63.1","4.5","25.0","1.1","3.1","",".","",".","3.1",".",".",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"144
ANATOMY","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","20","3.289","40.0","20.0","20.0","5.0","15.0","",".","",".",".",".",".",".","",".","",".",".",".","."
"Senior","","26","3.423","42.3","19.2","23.1","11.5","3.8","",".","",".",".",".",".",".","",".","",".",".",".","."
"Undergraduates","","46","3.367","41.3","19.6","21.7","8.7","8.7","",".","",".",".",".",".",".","",".","",".",".",".","."
"Special","","1","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".","",".","",".",".",".","."
"Graduate","","52","3.866","61.5","13.5","3.8",".",".","",".","",".","21.2",".",".",".","",".","",".",".",".","."
"Prof Yr 1","","254","3.611","67.3",".","29.9",".","2.8","",".","",".",".",".",".",".","",".","",".",".",".","."
"Professionals","","254","3.611","67.3",".","29.9",".","2.8","",".","",".",".",".",".",".","",".","",".",".",".","."
"","Dept. Total","353","3.611","63.2","4.5","24.9","1.1","3.1","",".","",".","3.1",".",".",".","",".","",".",".",".","."
