"L&S","","","","","","","","","","","","","","","","","","","","",""
"HISTORY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","","",""
"HISTORY
448","Dept. Total","3857","3.218","23.4","27.8","25.3","9.4","5.3","0.8","1.5","4.5","",".",".","",".","0.8","0.3","0.5","0.2","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","374","3.044","13.9","27.0","34.5","12.8","8.3","1.6","1.9",".","",".",".","",".",".",".",".",".","."
"Sophomore","","808","3.187","17.8","30.4","31.7","11.6","4.7","0.7","1.1","0.9","",".",".","",".",".",".","0.9","0.1","."
"Junior","","1012","3.217","19.7","33.1","28.5","10.1","5.6","0.4","1.2","0.8","",".",".","",".","0.1",".","0.1","0.1","0.4"
"Senior","","1243","3.199","26.3","28.1","23.3","9.0","6.4","1.2","2.3","1.9","",".",".","",".","0.2","0.2","0.8","0.2","0.2"
"Undergraduates","","3437","3.184","21.0","30.0","28.0","10.4","6.0","0.9","1.6","1.1","",".",".","",".","0.1","0.1","0.5","0.1","0.2"
"Special","","46","3.600","32.6","21.7","6.5","6.5",".",".",".","13.0","",".",".","",".",".",".","6.5","10.9","2.2"
"Graduate","","369","3.837","44.4","7.9","1.9","0.5",".",".","0.5","34.7","",".",".","",".","7.6","2.4",".",".","."
"Prof Yr 1","","2","3.714","50.0","50.0",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 2","","1","3.000",".",".","100.0",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 3","","2","3.286",".","50.0","50.0",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","5","3.412","20.0","40.0","40.0",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","3857","3.218","23.4","27.8","25.3","9.4","5.3","0.8","1.5","4.5","",".",".","",".","0.8","0.3","0.5","0.2","0.2"
