"L&S","","","","","","","","","","","","","","","","","","","",""
"FRENCH (FRENCH AND ITALIAN) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","","",""
"","227
004","","25","3.438","24.0","40.0","28.0","4.0",".",".",".","4.0",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","","65","3.516","30.8","41.5","24.6","1.5",".",".",".","1.5",".",".",".",".",".",".",".","."
"","228
001","","19","3.750","52.6","42.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","228
002","","18","3.300","16.7","38.9","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","003
228","","15","3.308","13.3","33.3","53.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
228","","19","3.182","26.3","10.5","42.1","15.8","5.3",".",".",".",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","","71","3.390","28.2","31.0","32.4","7.0","1.4",".",".",".",".",".",".",".",".",".",".","."
"","271
001","","25","3.440","48.0","32.0","12.0",".",".","4.0","4.0",".",".",".",".",".",".",".",".","."
"","271
002","","22","3.682","50.0","36.4","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
003","","18","3.722","66.7","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
004","","15","3.750","46.7","46.7",".",".",".",".",".",".",".",".",".",".",".",".","6.7","."
"Intro to Literary Analysis","Course Total","","80","3.627","52.5","31.3","12.5",".",".","1.3","1.3",".",".",".",".",".",".",".","1.3","."
"3rd Sem French-Honors","283
001","","16","3.688","62.5","18.8","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"4th Sem French-Honors","284
001","","20","3.375","30.0","40.0","20.0","5.0",".","5.0",".",".",".",".",".",".",".",".",".","."
"Intermed Lang&Cultr-Honors","287
001","","16","3.567","37.5","43.8","6.3",".","6.3",".",".",".",".",".",".",".",".","6.3",".","."
"Intermed Lang&Cultr-Honors","288
001","","7","3.423","42.9",".","57.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","299
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Practical French Converstn","301
001","","26","3.980","92.3","3.8",".",".",".",".",".","3.8",".",".",".",".",".",".",".","."
"","311
001","","18","3.598","44.4","27.8","16.7","5.6",".",".",".",".",".",".",".",".",".","5.6",".","."
"","002
311","","14","3.274","14.3","50.0","21.4","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Avance express orale&ecrite","Course Total","","32","3.447","31.3","37.5","18.8","6.3","3.1",".",".",".",".",".",".",".",".","3.1",".","."
"Avance express orale&ecrite","001
312","","24","3.618","54.2","20.8","16.7","4.2",".",".",".","4.2",".",".",".",".",".",".",".","."
"Intro to Business French","313
001","","24","3.753","54.2","41.7","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
321","","15","3.337","33.3","20.0","26.7","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","002
321","","22","3.557","27.3","54.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Middle Ages to Revol","Course Total","","37","3.473","29.7","40.5","21.6","8.1",".",".",".",".",".",".",".",".",".",".",".","."
"","322
001","","26","3.511","34.6","30.8","30.8","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","322
002","","25","3.926","84.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro French Lit-19 & 20 C","Course Total","","51","3.719","58.8","23.5","15.7","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"","347
001","","25","3.756","72.0","8.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","347
003","","19","3.573","36.8","42.1","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Civ Franc:orig au 18e siecl","Course Total","","44","3.675","56.8","22.7","20.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"French-Reading Knowledge","391
001","","11","3.333","45.5","18.2","9.1",".",".",".","9.1","18.2",".",".",".",".",".",".",".","."
"French Lit-Classical Age","431
001","","21","3.425","33.3","28.6","28.6","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in French Literature","462
001","","21","3.197","23.8","28.6","23.8","9.5",".","9.5",".","4.8",".",".",".",".",".",".",".","."
"Undergrad Smr-Fr Civ&Cultr","531
001","","11","3.344","45.5","27.3","9.1",".",".",".","9.1","9.1",".",".",".",".",".",".",".","."
"French Phonetics","590
001","","22","3.621","54.5","22.7","18.2","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Crit Approach to French Lit","626
001","","7","3.429",".","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Litterature-XVIIe Siecle","640
001","","19","3.618","36.8","36.8","15.8",".",".",".",".","10.5",".",".",".",".",".",".",".","."
"Lit Francaise-XVIe Siecle","646
002","","9","3.750","55.6","22.2","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Poesie Francaise 19 Et 20 S","658
001","","23","3.706","39.1","26.1","8.7",".",".",".",".","26.1",".",".",".",".",".",".",".","."
"","681
010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
