"OPERATIONS & TECHNOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"238
OTM","","","","","","","","","","","","","","","","","","",""
"Operations Research-Mgt","312
001","38","3.158","18.4","34.2","28.9","7.9","7.9",".","2.6",".",".",".",".",".",".",".",".","."
"","350
001","98","2.938","11.2","20.4","33.7","18.4","13.3","1.0","1.0",".",".",".",".",".",".","1.0",".","."
"","350
002","106","3.071","17.0","16.0","44.3","13.2","7.5","1.9",".",".",".",".",".",".",".",".",".","."
"","350
003","100","2.870","3.0","23.0","42.0","13.0","17.0","2.0",".",".",".",".",".",".",".",".",".","."
"Mgmt-Serv&Manufctng Operatn","Course Total","304","2.962","10.5","19.7","40.1","14.8","12.5","1.6","0.3",".",".",".",".",".",".","0.3",".","."
"Contemporary Topics","365
001","22","3.705","68.2","9.1","18.2","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg&Rsch-Operatns&Info Mgmt","399
076","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Operations Research I","410
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Service Operations Mgmt","451
001","19","3.763","52.6","47.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Operations Research I","710
001","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","730
001","40","3.513","47.5","15.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".",".","2.5"
"","730
002","41","3.610","56.1","19.5","17.1","4.9","2.4",".",".",".",".",".",".",".",".",".",".","."
"Managerial Economics","Course Total","81","3.563","51.9","17.3","21.0","7.4","1.2",".",".",".",".",".",".",".",".",".",".","1.2"
"","750
001","40","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","750
002","26","3.904","88.5","3.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
750","29","3.672","55.2","24.1","20.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Operations Management","Course Total","95","3.832","74.7","16.8","8.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Service Operations Managmnt","001
751","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Manage Tech Change-Mfg Syst","758
001","15","3.733","46.7","53.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","27","3.981","96.3","3.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","37","3.899","86.5","10.8","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","768
001","40","3.987","95.0","2.5",".",".",".",".",".",".",".",".",".",".",".",".","2.5","."
"","768
002","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","768
003","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quality Management","Course Total","93","3.995","97.8","1.1",".",".",".",".",".",".",".",".",".",".",".",".","1.1","."
"Intro-Qual&Prodtvty Imprvmt","770
001","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
037","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
073","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
076","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdg&Rsch-Operatns&Info Mgmt","Course Total","4","***","","","","","","","","","","","","","","","",""
"Strategc Managemt&Qual Plan","001
861","11","4.000","90.9",".",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"","990
058","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
076","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
117","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Operatns&Inf Mgt","Course Total","4","***","","","","","","","","","","","","","","","",""
"","999
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
037","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Read&Rsch-Oper&Info Mgt PhD","Course Total","3","***","","","","","","","","","","","","","","","",""
