"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"Signals and Systems","330
001","73","2.854","17.8","8.2","37.0","9.6","21.9","2.7","1.4","1.4",".",".",".",".",".",".",".","."
"Intro-Random Sig Anal&Stats","331
001","23","2.804","21.7","21.7","8.7","8.7","34.8",".","4.3",".",".",".",".",".",".",".",".","."
"Feedback Control Systems","332
001","49","2.561","12.2","14.3","12.2","28.6","20.4","8.2","4.1",".",".",".",".",".",".",".",".","."
"","335
001","50","2.719","6.0","8.0","34.0","26.0","20.0","2.0",".",".",".",".",".",".",".",".","4.0","."
"","335
002","41","2.695","9.8","19.5","34.1","12.2","12.2","4.9","7.3",".",".",".",".",".",".",".",".","."
"Microelectronic Devices","Course Total","91","2.708","7.7","13.2","34.1","19.8","16.5","3.3","3.3",".",".",".",".",".",".",".","2.2","."
"Electronic Circuits I","340
001","90","3.075","26.7","21.1","25.6","4.4","11.1","6.7","1.1","1.1",".",".",".",".",".","1.1","1.1","."
"Electronic Circuits II","342
001","39","2.730","7.7","15.4","25.6","10.3","35.9",".",".","5.1",".",".",".",".",".",".",".","."
"Semiconductr Physics&Device","001
345","6","2.500","33.3",".",".","33.3","16.7",".","16.7",".",".",".",".",".",".",".",".","."
"","350
001","11","3.636","54.5","36.4",".",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","350
002","18","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","350
003","16","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","350
004","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professional Expression","Course Total","60","3.750","58.3","36.7","3.3",".","1.7",".",".",".",".",".",".",".",".",".",".","."
"","351
001","13","3.346","38.5","23.1","15.4","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"","351
002","8","3.357","12.5","37.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","12.5"
"","003
351","9","3.111","22.2","11.1","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"","004
351","9","3.389","33.3","33.3","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"","351
006","10","3.750","70.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","351
007","11","3.364","9.1","63.6","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","009
351","6","3.083","33.3",".","16.7","50.0",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Logic Laboratory","Course Total","66","3.362","31.8","27.3","21.2","16.7","1.5",".",".",".",".",".",".",".",".",".",".","1.5"
"","001
352","74","2.822","12.2","14.9","29.7","23.0","13.5","4.1","1.4",".",".",".",".",".",".",".",".","1.4"
"","352
002","27","2.692","18.5","11.1","14.8","18.5","22.2","11.1",".","3.7",".",".",".",".",".",".",".","."
"Digital System Fundamentals","Course Total","101","2.788","13.9","13.9","25.7","21.8","15.8","5.9","1.0","1.0",".",".",".",".",".",".",".","1.0"
"Intro to Microprocessor Sys","001
353","43","2.651","16.3","14.0","11.6","18.6","32.6","4.7","2.3",".",".",".",".",".",".",".",".","."
"","354
001","10","3.250","30.0","30.0","20.0",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"","002
354","15","2.933","13.3","46.7","6.7","6.7","13.3","13.3",".",".",".",".",".",".",".",".",".","."
"","003
354","7","3.071","14.3","28.6","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"","354
004","8","3.188","25.0","50.0",".","12.5",".","12.5",".",".",".",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","Course Total","40","3.088","20.0","40.0","12.5","7.5","12.5","7.5",".",".",".",".",".",".",".",".",".","."
"","001
355","22","2.800","27.3","18.2","13.6","9.1",".","18.2","4.5","9.1",".",".",".",".",".",".",".","."
"","355
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","355
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Electromech Energy Conversn","Course Total","28","3.020","35.7","17.9","10.7","7.1",".","14.3","3.6","7.1",".",".",".",".","3.6",".",".","."
"","370
001","12","3.625","25.0","75.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
002","13","3.692","61.5","15.4","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
003","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
004","9","3.611","55.6","11.1","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
005","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Laboratory","Course Total","54","3.750","61.1","27.8","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
376","74","3.076","20.3","17.6","35.1","5.4","18.9",".",".",".",".",".",".",".",".","1.4",".","1.4"
"","002
376","71","2.887","19.7","15.5","28.2","15.5","14.1","4.2","2.8",".",".",".",".",".",".",".",".","."
"Electricl&Electronc Circuit","Course Total","145","2.983","20.0","16.6","31.7","10.3","16.6","2.1","1.4",".",".",".",".",".",".","0.7",".","0.7"
