"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"INFO SYS","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","2.000",".",".",".",".","100.0","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","6","3.583","50.0","16.7","33.3",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","22","3.595","45.5","31.8","13.6",".","4.5","",".","",".","4.5","",".",".","",".","",".","",".",".",".","."
"Senior","81","3.709","60.5","19.8","16.0",".","1.2","",".","",".","2.5","",".",".","",".","",".","",".",".",".","."
"Undergraduates","110","3.664","56.4","21.8","16.4",".","2.7","",".","",".","2.7","",".",".","",".","",".","",".",".",".","."
"Special","5","3.600","60.0","20.0",".","20.0",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","131","3.726","61.1","18.3","16.0","3.8","0.8","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","2","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","2","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
