"MICROBIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","","",""
"699","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","7","3.875","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","073","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","29","3.849","79.3","10.3","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"725
Microbial Diversity&Physiol","001","","24","3.587","37.5","37.5","20.8",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"726
Reg Gene Express-Prokaryots","001","","15","3.633","53.3","20.0","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"731
Seminar","001","","58","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","023","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Bact Teaching","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875
Special Topics","001","","10","3.457","20.0","60.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"901","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"901","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"901","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"901","005","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"901","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"901","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"901","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"901","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"901","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"901","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"901","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"901","015","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"901","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"901","017","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"901","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Seminar","Course Total","","58","4.000","96.6",".",".",".",".",".",".","1.7",".",".",".","1.7",".",".",".","."
"908
Smr:Nitrogen Fixation (Adv)","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"914
Smr-Molecular Biosci (Adv)","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"932","001","","11","3.636","63.6",".","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"932","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Biotechnol Traing Prgm Smr","Course Total","","16","3.688","68.8",".","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
