"HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"United States 1914-1945","397","001","141","3.271","24.8","30.5","30.5","5.0","4.3","0.7","2.1","0.7",".",".",".",".",".",".",".","1.4"
"The US Since 1945","398","001","33","3.623","36.4","48.5","15.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Amer Urban Hist Since 1870","402","001","129","3.343","21.7","39.5","29.5","2.3","2.3",".","1.6","0.8",".",".",".",".",".","1.6","0.8","."
"Central Europe 1648-1871","409","001","26","3.545","30.8","42.3",".","11.5",".",".",".","3.8",".",".",".",".","3.8","3.8",".","3.8"
"History-American Education","412","001","74","3.069","17.6","16.2","36.5","16.2","10.8",".",".","1.4",".",".",".",".",".",".","1.4","."
"History of Russia","418","001","42","3.088","16.7","19.0","40.5","14.3","4.8",".","2.4",".",".",".",".",".",".","2.4",".","."
"History of Scand to 1815","431","001","30","3.382","30.0","16.7","40.0","6.7",".",".",".","3.3",".",".",".",".",".","3.3",".","."
"Amer Foreign Rel-1901 on","434","001","123","3.259","23.6","29.3","29.3","9.8","4.1",".","1.6","1.6",".",".",".",".",".",".",".","0.8"
"Buddhism&Soc-SE Asian Hist","438","001","45","3.307","17.8","37.8","28.9","13.3",".",".",".",".",".",".",".",".",".","2.2",".","."
"History of Medieval India","448","001","56","3.530","39.3","28.6","26.8","3.6",".",".",".","1.8",".",".",".",".",".",".",".","."
"Modern India, 1860-1990","450","001","37","3.179","24.3","24.3","29.7","8.1","8.1","2.7",".","2.7",".",".",".",".",".",".",".","."
"American West Since 1850","462","001","178","3.383","32.6","29.8","25.8","3.9","3.4","0.6","1.1","2.8",".",".",".",".",".",".",".","."
"Paideia:Ed in Westrn Cultur","479","001","11","3.797","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading Seminar in History","500","001","16","3.344","18.8","43.8","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Health, Disease&Healing II","508","001","9","3.089","22.2","11.1","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"Eur Cultural Hist 1610-1815","512","001","50","3.063","26.0","22.0","36.0","2.0",".",".","10.0","2.0",".",".",".",".","2.0",".",".","."
"Ancient Relig&Early Church","517","001","38","3.528","44.7","28.9","10.5","2.6","7.9",".",".","5.3",".",".",".",".",".",".",".","."
"Hist of Mass Communication","560","001","15","2.033",".","6.7","6.7","26.7","40.0","13.3","6.7",".",".",".",".",".",".",".",".","."
"Byzantine Med & Pharmacy","562","001","13","3.808","76.9","7.7","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Scand&Intl Relatns","578","001","13","3.632","38.5","38.5","15.4",".",".",".",".",".",".",".",".",".",".","7.7",".","."
"","600","001","21","3.214","33.3","28.6","19.0","4.8","9.5",".","4.8",".",".",".",".",".",".",".",".","."
"","600","002","10","2.950","20.0","30.0","10.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"","600","003","18","3.118","38.9","11.1","27.8",".","5.6","5.6","5.6",".",".",".",".",".","5.6",".",".","."
"","600","004","15","2.786","20.0","26.7","20.0",".","6.7","13.3","6.7",".",".",".",".",".","6.7",".",".","."
"","600","005","15","3.821","73.3","13.3",".","6.7",".",".",".",".",".",".",".",".","6.7",".",".","."
"","600","006","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","007","17","3.324","23.5","41.2","17.6","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"","600","008","17","3.188","23.5","23.5","23.5","11.8","11.8",".",".",".",".",".",".",".","5.9",".",".","."
"","600","009","18","3.333","50.0","5.6","27.8","5.6","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"","600","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","600","011","12","3.800","50.0","33.3",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","600","012","13","3.542","30.8","46.2","7.7","7.7",".",".",".",".",".",".",".",".","7.7",".",".","."
"","600","013","17","3.688","70.6","5.9","5.9","5.9","5.9",".",".",".",".",".",".",".",".",".","5.9","."
"Advanced Seminar in History","","Course Total","184","3.366","42.9","21.7","15.2","6.0","5.4","2.7","1.6",".",".",".",".",".","3.8",".","0.5","."
"Afro-Am Hist Since 1900","636","001","26","3.333","34.6","7.7","38.5","7.7","3.8",".",".","7.7",".",".",".",".",".",".",".","."
"History of Books&Printing","671","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors Thesis Colloquium","680","001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681","049","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","050","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","080","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","088","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","4","***","","","","","","","","","","","","","","","",""
