"","990
031","3","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","990
042","2","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","990
044","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Individual Research","Course Total","27","4.000","33.3",".",".",".",".",".",".","66.7","",".",".","",".","",".",".",".",".","."
"FRENCH
400","Dept. Total","1243","3.388","37.2","27.2","18.8","6.3","3.5","1.0","1.0","4.0","",".",".","",".","",".","0.2","0.4","0.2","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","174","3.231","24.1","29.9","26.4","10.9","6.9","1.7",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","312","3.326","32.4","28.8","24.4","7.1","2.6","1.3","1.6","0.6","",".",".","",".","",".",".","1.0",".","0.3"
"Junior","","298","3.375","39.9","29.5","15.4","7.4","3.0","1.3","1.7","1.0","",".",".","",".","",".",".",".","0.3","0.3"
"Senior","","291","3.441","41.6","25.1","18.6","4.5","4.8","0.7","0.3","3.1","",".",".","",".","",".","0.7","0.7",".","."
"Undergraduates","","1075","3.350","35.6","28.2","20.7","7.1","4.0","1.2","1.0","1.3","",".",".","",".","",".","0.2","0.5","0.1","0.2"
"Special","","37","3.566","43.2","29.7","5.4","5.4",".",".","2.7","13.5","",".",".","",".","",".",".",".",".","."
"Graduate","","129","3.790","49.6","17.1","7.8",".",".",".",".","24.0","",".",".","",".","",".",".",".","1.6","."
"Prof Yr 1","","2","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","","2","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","1243","3.388","37.2","27.2","18.8","6.3","3.5","1.0","1.0","4.0","",".",".","",".","",".","0.2","0.4","0.2","0.2"
