"","999
014","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
022","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
025","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Study","Course Total","4","***","","","","","","","","","","","","","","","","","",""
"HDFS
230","Dept. Total","936","3.265","30.7","17.3","23.6","9.2","4.4","1.1","1.4","2.2","",".","8.7","",".","0.7","0.5","0.1",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","4","2.625",".","25.0","25.0",".","50.0",".",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","142","3.039","15.5","23.2","31.0","19.7","7.0","2.1","0.7",".","",".",".","",".",".",".",".",".","0.7"
"Junior","","295","3.247","31.5","15.3","28.1","11.2","3.7","0.3","2.0","0.7","",".","7.1","",".",".",".",".",".","."
"Senior","","408","3.267","27.5","17.6","22.3","6.1","3.9","1.5","1.5","3.9","",".","14.7","",".",".","0.7","0.2",".","."
"Undergraduates","","849","3.212","26.7","17.8","25.8","10.1","4.6","1.2","1.5","2.1","",".","9.5","",".",".","0.4","0.1",".","0.1"
"Special","","8","3.313","25.0","37.5","25.0",".","12.5",".",".",".","",".",".","",".",".",".",".",".","."
"Graduate","","78","3.912","73.1","10.3",".",".","1.3",".",".","3.8","",".",".","",".","9.0","2.6",".",".","."
"Prof Yr 1","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","936","3.265","30.7","17.3","23.6","9.2","4.4","1.1","1.4","2.2","",".","8.7","",".","0.7","0.5","0.1",".","0.1"
