"","ATMOSPHERIC & OCEANIC SCIE Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"640
ATM OCN","","","","","","","","","","","","","","","","","","","",""
"","100","001","210","2.857","20.0","12.4","23.3","23.3","12.4","3.8","2.9","1.0",".",".",".",".",".","1.0",".","."
"","100","002","194","2.255","12.4","3.1","13.9","7.2","45.4","12.4","4.6","0.5",".",".",".",".",".","0.5",".","."
"Weather and Climate","","Course Total","404","2.567","16.3","7.9","18.8","15.6","28.2","7.9","3.7","0.7",".",".",".",".",".","0.7",".","."
"Weather and Climate","101","001","130","3.008","23.1","18.5","19.2","20.0","13.8","3.8",".","0.8",".",".",".",".",".",".","0.8","."
"Survey of Oceanography","105","001","29","2.423","10.3","13.8","10.3","13.8","31.0",".","10.3",".",".",".",".",".",".","6.9",".","3.4"
"Atmspherc Envirnmnt&Society","121","001","82","3.069","24.4","24.4","18.3","15.9","8.5","4.9","1.2","2.4",".",".",".",".",".",".",".","."
"","171","001","14","3.214","21.4","28.6","28.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"","171","092","20","3.079","15.0","30.0","15.0","25.0","10.0",".",".",".",".",".",".",".","5.0",".",".","."
"Global Chg: Atmospheric Iss","","Course Total","34","3.136","17.6","29.4","20.6","20.6","8.8",".",".",".",".",".",".",".","2.9",".",".","."
"Intro Weather Anal&Forecast","252","001","19","3.083","15.8","21.1","26.3","26.3","5.3",".",".","5.3",".",".",".",".",".",".",".","."
"Dynamic-Atmosphere&Ocean II","311","001","22","2.909","13.6","13.6","40.9","22.7","4.5",".","4.5",".",".",".",".",".",".",".",".","."
"Physics-Atmosphere&Ocean II","340","001","23","3.114","17.4","17.4","43.5","13.0",".","4.3",".",".",".",".",".",".",".","4.3",".","."
"Topics in Meteorology","401","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"AOS Senior Capstone Seminar","405","001","14","3.643","50.0","28.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Syn Lab II-Mesoscale Meteor","453","001","20","3.100","15.0","20.0","45.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Sci Bckgrnd-Globl Envr Prob","472","001","9","3.167","22.2","11.1","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"Past Climates&Climatic Chg","528","001","17","3.833","64.7","17.6","5.9",".",".",".",".","5.9",".",".",".",".",".","5.9",".","."
"Global Climates","531","001","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Atmospherc Dispersn&Pollutn","535","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Weekly Weather Watch","559","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Problems of Atmospheric Sci","601","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Geophys Fluid Dynamics II","611","001","8","3.375","62.5",".","25.0",".",".","12.5",".",".",".",".",".",".",".",".",".","."
"Cloud Physics","637","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Radiatn in Atmosphere&Ocean","640","001","12","3.455","33.3","25.0","25.0","8.3",".",".",".","8.3",".",".",".",".",".",".",".","."
"Analysis of Atmospheric Sys","650","001","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","698","029","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699","016","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Boundary Layer Meteorology","773","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Meteorology","900","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr:Ph.D. Rsch Presentatns","907","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","8","",".",".",".",".",".",".",".","62.5",".",".",".","37.5",".",".",".","."
"","990","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","016","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","017","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","018","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","022","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","025","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","026","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","027","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","029","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","030","3","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 246 of 374",""
