"TERM : 0994","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 1998-99","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","",""
"LIBRARY & INFORMATION STUD Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","","","",""
"L I S
Dept. Total
544","406","3.775","62.6","25.1","6.7","0.5","0.2","",".","0.2","2.5","",".",".","",".","",".","1.2",".","0.5","0.5"
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","","","",""
"Junior","2","3.000","50.0",".",".",".","50.0","",".",".",".","",".",".","",".","",".",".",".",".","."
"Senior","13","3.654","46.2","38.5","15.4",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","15","3.567","46.7","33.3","13.3",".","6.7","",".",".",".","",".",".","",".","",".",".",".",".","."
"Special","24","3.417","37.5","33.3","25.0",".",".","",".","4.2",".","",".",".","",".","",".",".",".",".","."
"Graduate","367","3.809","64.9","24.3","5.2","0.5",".","",".",".","2.7","",".",".","",".","",".","1.4",".","0.5","0.5"
"Dept. Total","406","3.775","62.6","25.1","6.7","0.5","0.2","",".","0.2","2.5","",".",".","",".","",".","1.2",".","0.5","0.5"
