"MATHEMATICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"","340","006","","36","2.292","13.9","5.6","16.7","8.3","33.3","16.7","5.6",".",".",".",".",".",".",".",".","."
"","340","008","","19","3.056","31.6","21.1","5.3","21.1","10.5",".","5.3",".",".",".",".",".",".","5.3",".","."
"","340","009","","26","2.604","23.1",".","23.1","11.5","23.1","3.8","7.7",".",".",".",".",".",".","7.7",".","."
"","340","010","","15","2.967","20.0","13.3","33.3","20.0","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"Elem Matrix&Linear Algebra","","Course Total","","238","2.856","26.5","13.0","19.3","13.0","17.2","5.5","4.2",".",".",".",".",".",".","1.3",".","."
"Basic Concepts of Math","371","001","","29","2.603","24.1","6.9","17.2","17.2","13.8","17.2","3.4",".",".",".",".",".",".",".",".","."
"Appl Dyn Sys, Chaos&Modelng","415","001","","15","3.429","26.7","33.3","26.7","6.7",".",".",".",".",".",".",".",".",".","6.7",".","."
"Intmed Differential Equatns","419","001","","14","3.125","21.4","7.1","42.9",".","14.3",".",".","14.3",".",".",".",".",".",".",".","."
"","431","001","","26","2.880","34.6","11.5","11.5","11.5","15.4","3.8","7.7",".",".",".",".",".",".",".",".","3.8"
"","431","002","","29","2.232","6.9","6.9","20.7","3.4","41.4","10.3","6.9",".",".",".",".",".",".",".",".","3.4"
"Intro-Theory of Probability","","Course Total","","55","2.538","20.0","9.1","16.4","7.3","29.1","7.3","7.3",".",".",".",".",".",".",".",".","3.6"
"Intro-Combinatorics","475","001","","7","3.286","71.4",".",".",".","14.3","14.3",".",".",".",".",".",".",".",".",".","."
"Numerical Linear Algebra","513","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","521","001","","19","2.447","10.5","15.8","26.3","10.5","15.8","10.5","10.5",".",".",".",".",".",".",".",".","."
"","521","002","","25","2.717","32.0",".","16.0","12.0","20.0","4.0","8.0","8.0",".",".",".",".",".",".",".","."
"Advanced Calculus","","Course Total","","44","2.595","22.7","6.8","20.5","11.4","18.2","6.8","9.1","4.5",".",".",".",".",".",".",".","."
"Advanced Calculus","522","001","","7","2.643",".","42.9","28.6",".","14.3",".","14.3",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525","001","","7","3.071","57.1",".","14.3","14.3",".",".","14.3",".",".",".",".",".",".",".",".","."
"Modern Algebra","541","001","","28","2.722","32.1","3.6","10.7","14.3","21.4","10.7","3.6",".",".",".",".",".",".",".",".","3.6"
"Modern Algebra","542","001","","16","2.969","37.5","25.0","6.3","6.3","12.5",".","12.5",".",".",".",".",".",".",".",".","."
"Elementary Topology","551","001","","15","2.875","13.3","13.3","13.3","20.0","20.0",".",".",".",".",".",".",".",".","13.3","6.7","."
"Mathematical Logic","571","001","","25","3.413","40.0","20.0","20.0","8.0",".","4.0",".",".",".",".",".",".",".",".","4.0","4.0"
"Intro-Measure & Integration","629","001","","8","3.500","37.5","25.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632","001","","11","3.136","27.3","18.2","27.3","9.1","18.2",".",".",".",".",".",".",".",".",".",".","."
"","699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","106","","8","3.917","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","107","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","12","3.833","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods of Applied Math-2","704","001","","11","3.800","54.5","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","9.1"
"Finite Difference Methods","712","001","","9","3.625","55.6","22.2",".",".","11.1",".",".",".",".",".",".",".",".",".",".","11.1"
"Ordinary Differntl Equatns","716","001","","8","3.857","62.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","12.5"
"Complex Analysis","722","001","","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Secnd Crse in Real Analysis","725","001","","11","3.773","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Abstract Algebra","742","001","","27","3.444","44.4","22.2","18.5","7.4","7.4",".",".",".",".",".",".",".",".",".",".","."
"Introductory Topology II","752","001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Differential Topology","762","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Set Theory","771","001","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Model Theory","776","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Applied Math","801","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Functions","805","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","Page 242 of 374",""
