"MARKETING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","","",""
"799","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","131","","19","3.810","57.9","42.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","Course Total","","20","3.818","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"810
Adv Topics-Marketing Rsch","001","","12","3.708","41.7","58.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"815
Anal-Commercial Databases","001","","11","3.700","54.5","18.2","18.2",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"972
Seminar-Marketing PhD","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","120","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Marketing","Course Total","","6","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"999
Readng & Rsch-Marketing PhD","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"MARKETNG
237","Dept. Total","","1467","3.241","21.3","25.8","37.9","10.4","3.2","0.3","0.3","0.7",".",".",".",".",".","0.1",".","."
