"","699
014","3","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","699
114","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Directed Study","Course Total","8","3.925","87.5","12.5",".",".",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Individual Research Thesis","890
014","4","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"LATIN
524","Dept. Total","127","3.470","44.9","22.0","18.1","3.9","5.5","0.8","",".","3.9","",".",".","",".","",".","0.8",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"524
LATIN","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","20","3.175","15.0","35.0","35.0",".","15.0",".","",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","17","3.515","41.2","35.3","11.8","5.9","5.9",".","",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","27","3.332","37.0","22.2","22.2","7.4","11.1",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","30","3.480","43.3","16.7","26.7","3.3",".","3.3","",".","3.3","",".",".","",".","",".","3.3",".",".","."
"Undergraduates","","94","3.374","35.1","25.5","24.5","4.3","7.4","1.1","",".","1.1","",".",".","",".","",".","1.1",".",".","."
"Special","","5","3.875","60.0","20.0",".",".",".",".","",".","20.0","",".",".","",".","",".",".",".",".","."
"Graduate","","28","3.873","75.0","10.7",".","3.6",".",".","",".","10.7","",".",".","",".","",".",".",".",".","."
"","Dept. Total","127","3.470","44.9","22.0","18.1","3.9","5.5","0.8","",".","3.9","",".",".","",".","",".","0.8",".",".","."
