"ZOOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","","",""
"General Ecology","460","001","44","3.200","31.8","22.7","27.3","4.5","9.1","2.3","2.3",".",".",".",".",".",".",".",".","."
"General Genetics","466","001","105","2.576","9.5","20.0","16.2","19.0","22.9","7.6","4.8",".",".",".",".",".",".",".",".","."
"Intro to Animal Development","470","001","100","2.897","26.0","11.0","21.0","11.0","23.0","2.0","3.0",".",".",".",".",".","1.0",".","1.0","1.0"
"Ecology of Fishes","510","001","61","3.192","29.5","27.9","14.8","16.4","4.9","3.3","1.6",".",".",".",".",".",".",".",".","1.6"
"","511","001","25","3.020","24.0","8.0","52.0","4.0","4.0","4.0","4.0",".",".",".",".",".",".",".",".","."
"","511","002","20","3.100","30.0","10.0","35.0","20.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"Ecology of Fishes Lab","","Course Total","45","3.056","26.7","8.9","44.4","11.1","2.2","2.2","4.4",".",".",".",".",".",".",".",".","."
"Marine & Freshwatr Plankton","515","001","15","3.433","40.0","20.0","33.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Plankton Ecology Lab","516","001","14","3.857","92.9",".",".",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Ornithology","520","001","89","3.003","23.6","10.1","32.6","9.0","22.5","1.1",".","1.1",".",".",".",".",".",".",".","."
"","521","001","14","3.224","35.7","14.3","14.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".","."
"","521","002","16","2.969","31.3","6.3","25.0","12.5","18.8","6.3",".",".",".",".",".",".",".",".",".","."
"","521","003","13","3.000","46.2",".","7.7",".","46.2",".",".",".",".",".",".",".",".",".",".","."
"","521","004","15","3.071","40.0",".","33.3",".","6.7","13.3",".","6.7",".",".",".",".",".",".",".","."
"","521","005","10","2.750","20.0","10.0","40.0",".","10.0","20.0",".",".",".",".",".",".",".",".",".","."
"Field Ornithology","","Course Total","68","3.019","35.3","5.9","23.5","8.8","17.6","7.4",".","1.5",".",".",".",".",".",".",".","."
"Neurobi II:Intr-Brain&Behav","524","001","37","3.389","40.5","18.9","13.5","24.3",".",".",".",".",".",".",".",".",".",".","2.7","."
"Insect Behavior","530","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Sociobiol/Social Ethology","532","001","53","3.154","22.6","13.2","39.6","17.0","5.7",".",".","1.9",".",".",".",".",".",".",".","."
"Ecosystem Analysis","535","001","26","3.635","57.7","11.5","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Comparative Physiology","611","001","26","3.385","30.8","23.1","42.3",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"Comparative Physiology Lab","612","001","9","3.611","44.4","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biology of Mind","619","001","53","3.510","30.2","47.2","13.2","1.9","3.8",".",".","1.9",".",".",".",".",".","1.9",".","."
"Development of Nervous Sys","625","001","41","3.378","46.3","4.9","34.1","7.3","7.3",".",".",".",".",".",".",".",".",".",".","."
"Capstone-Field Biology II","640","001","11","3.887","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Conservation Biology","651","001","18","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modern Biologicl Microscopy","675","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internship in Ecology","677","001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","680","001","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","680","002","16","3.781","75.0","12.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Honors Seminar","","Course Total","29","3.810","75.9","13.8","6.9","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"","682","014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","016","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","026","6","3.929","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","682","033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","047","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","056","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","14","3.967","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","692","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","026","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 306 of 374",""
