"EDU","","","","","","","","","","","","","","","","","","","","",""
"","ED LEADERSHP & POLICY ANAL Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","","",""
"Emplymnt/El&Sec Schl Pupils","313","001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Elem & Sec Educ Admin","702","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Govern&Admin-Coll&Universty","715","001","","15","3.667","60.0","20.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Serv&Divrsty-El/Scndry","735","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Admin Stdt Serv-Higher Educ","736","001","","19","3.658","31.6","68.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sch-Com Rel:Commun,Mrkt,Pol","770","001","","17","3.938","82.4","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","5.9"
"Prblms-Coll&Universty Admin","815","001","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","820","001","","22","3.810","59.1","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","4.5"
"","820","002","","43","3.814","62.8","37.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bus Adm of School Systems","","Course Total","","65","3.813","61.5","36.9",".",".",".",".",".",".",".",".",".",".",".",".",".","1.5"
"Adv Rsch Methods-Ed Admin","825","001","","22","3.886","86.4","4.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Eval:Adm Decision Making-Ed","826","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Aspcts-El & Scndry Ed","840","001","","22","3.929","81.8","13.6",".",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"The School Principalship","845","001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The School Superintendency","846","001","","19","4.000","94.7",".",".",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"Pro Devel&Orgniztn Learning","848","001","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Org Theory&Behavior in Educ","860","001","","25","3.960","92.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory&Practice-Ed Planning","875","001","","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Acadmc Prgrms-Col&Universty","880","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Dissertation Rsch","925","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","940","001","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","940","002","","10","3.778","60.0","20.0","10.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"","940","003","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr in Educational Admin","","Course Total","","26","3.917","80.8","7.7","3.8",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"","990","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","004","","9","4.000","66.7",".",".",".",".",".",".",".",".",".",".","33.3",".",".",".","."
"","990","012","","7","4.000","14.3",".",".",".",".",".",".","71.4",".",".",".","14.3",".",".",".","."
"","990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","020","","8","4.000","25.0",".",".",".",".",".",".","50.0",".",".",".","25.0",".",".",".","."
"","990","027","","16","4.000","18.8",".",".",".",".",".",".","43.8",".",".",".","37.5",".",".",".","."
"","990","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","036","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","990","038","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","039","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","","Course Total","","67","4.000","41.8",".",".",".",".",".",".","35.8",".",".",".","19.4","3.0",".",".","."
"","999","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","024","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","","Page 89 of 374"
