"FRENCH (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","",""
"","101
002","18","2.861","33.3","11.1","27.8","5.6","5.6","5.6","11.1",".",".",".",".",".",".",".",".","."
"","004
101","17","3.321","35.3","23.5","11.8","5.9",".",".","5.9","11.8",".",".",".",".",".",".","5.9","."
"","101
006","20","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
007","20","3.711","60.0","20.0","10.0","5.0",".",".",".",".",".",".",".",".",".","5.0",".","."
"","008
101","16","3.250","31.3","31.3","12.5","6.3","18.8",".",".",".",".",".",".",".",".",".",".","."
"","101
010","20","3.450","35.0","30.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","101
012","14","3.292","28.6","28.6","7.1","7.1","14.3",".",".","7.1",".",".",".",".",".",".",".","7.1"
"","101
013","17","2.400","17.6","5.9","11.8","5.9","17.6","11.8","5.9","23.5",".",".",".",".",".",".",".","."
"First Semester French","Course Total","142","3.300","38.7","22.5","14.8","5.6","6.3","2.1","2.8","4.9",".",".",".",".",".","0.7","0.7","0.7"
"","102
001","18","3.094","11.1","33.3","22.2","5.6","16.7",".",".","11.1",".",".",".",".",".",".",".","."
"","102
002","22","2.886","9.1","31.8","27.3","9.1","13.6","9.1",".",".",".",".",".",".",".",".",".","."
"","003
102","16","3.767","56.3","31.3","6.3",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","004
102","16","3.281","31.3","31.3","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"","102
005","25","3.083","16.0","20.0","36.0","20.0",".","4.0",".",".",".",".",".",".",".",".","4.0","."
"","102
006","22","2.841","4.5","18.2","36.4","22.7","18.2",".",".",".",".",".",".",".",".",".",".","."
"","102
008","21","3.289","28.6","28.6","14.3","14.3",".","4.8",".","9.5",".",".",".",".",".",".",".","."
"","010
102","21","3.400","42.9","23.8","9.5","4.8","14.3",".",".","4.8",".",".",".",".",".",".",".","."
"Second Semester French","Course Total","161","3.175","23.6","26.7","21.7","11.8","9.3","2.5",".","3.7",".",".",".",".",".",".","0.6","."
"Second Sem French Honors","182
001","13","3.154","15.4","30.8","23.1","30.8",".",".",".",".",".",".",".",".",".",".",".","."
"","203
001","11","3.136","27.3","18.2","36.4","9.1",".","9.1",".",".",".",".",".",".",".",".",".","."
"","003
203","18","3.333","33.3","22.2","27.8","11.1","5.6",".",".",".",".",".",".",".",".",".",".","."
"","203
005","22","3.475","36.4","22.7","22.7","9.1",".",".",".","9.1",".",".",".",".",".",".",".","."
"","007
203","22","2.947","18.2","9.1","31.8","18.2","4.5",".","4.5","9.1",".",".",".",".",".",".",".","4.5"
"","203
009","20","3.675","55.0","25.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","013
203","15","3.067","13.3","33.3","33.3","6.7","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"","203
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester French","Course Total","109","3.296","31.2","21.1","27.5","9.2","2.8","1.8","0.9","3.7",".",".",".",".",".",".","0.9","0.9"
"","204
001","10","2.750","10.0","30.0","30.0",".","10.0","20.0",".",".",".",".",".",".",".",".",".","."
"","204
002","16","3.313","25.0","31.3","25.0","18.8",".",".",".",".",".",".",".",".",".",".",".","."
"","004
204","16","3.281","31.3","25.0","25.0","6.3","12.5",".",".",".",".",".",".",".",".",".",".","."
"","007
204","23","3.022","13.0","43.5","17.4","13.0","4.3","4.3","4.3",".",".",".",".",".",".",".",".","."
"","009
204","21","3.048","14.3","23.8","47.6","4.8","4.8",".","4.8",".",".",".",".",".",".",".",".","."
"","204
011","18","3.250","16.7","33.3","38.9","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester French","Course Total","104","3.125","18.3","31.7","30.8","8.7","5.8","2.9","1.9",".",".",".",".",".",".",".",".","."
"","227
001","25","3.424","24.0","40.0","36.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
227","12","3.333","33.3","25.0","25.0","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"","227
003","20","3.279","25.0","30.0","25.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","57","3.355","26.3","33.3","29.8","7.0","3.5",".",".",".",".",".",".",".",".",".",".","."
"","001
228","30","3.636","53.3","30.0","6.7","3.3","3.3",".",".","3.3",".",".",".",".",".",".",".","."
"","228
002","21","3.356","19.0","57.1","9.5","4.8",".",".","4.8",".",".",".",".",".",".","4.8",".","."
"","003
228","17","3.369","41.2","29.4","23.5",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"","228
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","71","3.483","39.4","38.0","12.7","2.8","1.4",".","2.8","1.4",".",".",".",".",".","1.4",".","."
"","001
271","16","2.962","6.3","50.0","25.0","6.3",".","6.3","6.3",".",".",".",".",".",".",".",".","."
"","002
271","23","3.804","78.3","13.0","4.3",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 202 of 374",""
