"L&S","","","","","","","","","","","","","","","","","","","","",""
"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","","",""
"PSYCH
820","Dept. Total","4885","3.011","28.5","16.3","20.4","13.4","15.0","3.8","1.3","0.7","0.0",".","",".","",".","0.0","0.2","0.1","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","806","2.672","12.0","16.7","16.5","21.3","24.6","6.1","1.9","0.1",".",".","",".","",".",".","0.2",".","0.5"
"Sophomore","","1253","2.939","21.7","17.2","22.3","16.2","16.8","4.0","1.1",".",".",".","",".","",".",".","0.3",".","0.2"
"Junior","","1212","2.966","23.6","17.2","24.9","13.0","15.2","4.0","1.2","0.5","0.1",".","",".","",".",".","0.1","0.2","0.1"
"Senior","","1334","3.221","40.5","15.6","19.4","8.7","9.9","2.7","1.3","1.6",".",".","",".","",".",".","0.1",".","0.2"
"Undergraduates","","4605","2.978","26.0","16.7","21.2","14.1","15.7","4.0","1.3","0.6","0.0",".","",".","",".",".","0.2","0.0","0.2"
"Special","","46","3.290","50.0","13.0","15.2","10.9","2.2","2.2","4.3",".",".",".","",".","",".",".",".","2.2","."
"Graduate","","231","3.780","75.3","10.4","7.4","1.3","1.7",".",".","2.2",".",".","",".","",".","0.9",".","0.4","0.4"
"Prof Yr 1","","2","3.000","50.0",".",".",".","50.0",".",".",".",".",".","",".","",".",".",".",".","."
"Prof Yr 2","","1","3.500",".","100.0",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Professionals","","3","3.167","33.3","33.3",".",".","33.3",".",".",".",".",".","",".","",".",".",".",".","."
"","Dept. Total","4885","3.011","28.5","16.3","20.4","13.4","15.0","3.8","1.3","0.7","0.0",".","",".","",".","0.0","0.2","0.1","0.2"
