"EGR","","","","","","","","","","","","","","","","","","","","",""
"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","","",""
"M E
612","Dept. Total","2236","3.205","31.0","20.5","21.0","10.6","7.6","2.1","1.0","3.9","",".",".","",".","1.3","0.2","0.1",".","0.5"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","102","3.133","26.5","23.5","20.6","15.7","7.8","2.0","2.0",".","",".",".","",".",".",".","1.0",".","1.0"
"Sophomore","","255","3.198","31.4","20.4","22.0","17.3","6.7","0.4","0.4",".","",".",".","",".",".",".",".",".","1.6"
"Junior","","412","2.969","22.6","23.8","22.8","12.6","12.4","2.4","2.4",".","",".",".","",".",".",".",".",".","1.0"
"Senior","","991","3.085","23.7","23.3","26.2","12.5","9.4","3.4","0.7","0.2","",".",".","",".",".","0.1","0.2",".","0.2"
"Undergraduates","","1760","3.075","24.7","23.0","24.5","13.4","9.6","2.7","1.1","0.1","",".",".","",".",".","0.1","0.2",".","0.6"
"Special","","19","3.170","47.4","10.5","10.5",".","5.3",".","10.5",".","",".",".","",".",".","10.5",".","5.3","."
"Graduate","","460","3.796","54.8","11.3","8.0","0.4","0.2","0.2",".","18.5","",".",".","",".","6.3","0.2",".",".","."
"","Dept. Total","2239","3.205","31.1","20.5","21.0","10.6","7.6","2.1","1.0","3.9","",".",".","",".","1.3","0.2","0.1","0.0","0.5"
