"EDUCATIONAL PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","",""
"","301
001","67","3.069","14.9","28.4","29.9","14.9","4.5","3.0","1.5",".",".",".",".",".",".","1.5",".","1.5"
"","301
002","115","3.326","27.8","37.4","16.5","12.2","5.2",".","0.9",".",".",".",".",".",".",".",".","."
"Human Abilities & Learning","Course Total","182","3.233","23.1","34.1","21.4","13.2","4.9","1.1","1.1",".",".",".",".",".",".","0.5",".","0.5"
"","320
001","145","3.553","53.1","20.0","13.8","5.5","2.1","1.4","0.7","2.8",".",".",".",".",".","0.7",".","."
"","320
002","58","3.390","27.6","37.9","20.7","8.6",".","3.4",".",".",".",".",".",".",".",".",".","1.7"
"Human Dev-Infancy&Childhood","Course Total","203","3.505","45.8","25.1","15.8","6.4","1.5","2.0","0.5","2.0",".",".",".",".",".","0.5",".","0.5"
"Human Develop-Adolescence","321
001","155","3.050","27.1","7.7","36.1","7.7","16.8","0.6","1.3","0.6",".",".",".",".",".",".","0.6","1.3"
"Adolscnt Develp-Educ Contxt","521
001","62","3.828","72.6","19.4","4.8","1.6",".",".",".",".",".",".",".",".",".",".",".","1.6"
"","699
022","10","3.857","90.0",".",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","699
039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading-Undergrad","Course Total","11","3.875","90.9",".",".",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"The Study of Teaching","708
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
002","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
003","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
711","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics-Ed Psych","Course Total","32","3.959","90.6","9.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adolescent Development","721
001","14","4.000","85.7",".",".",".",".",".",".","7.1",".",".",".",".","7.1",".",".","."
"Theory & Issues-Human Dev","725
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Soc Devel Eth/Minorty Chldn","726
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Assessment Tech-Schools I","740
001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lrng&Lang Disability-Chldrn","742
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","761
001","28","3.536","46.4","17.9","32.1","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","761
002","22","3.614","59.1","9.1","27.3","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Meth-Applied to Ed II","Course Total","50","3.570","52.0","14.0","30.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Scaling, Factr&Cluster Anal","773
001","27","3.860","66.7","25.9",".",".",".",".",".","7.4",".",".",".",".",".",".",".","."
"Cognition&Classrm Learng II","796
001","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Pract-School Psych","Course Total","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multivariate Analysis","862
001","20","3.722","50.0","30.0","10.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Thry:Comp-Based Instruc Sys","890
001","9","3.813","55.6","33.3",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","920
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","002
920","13","3.959","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","920
003","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Child Development","Course Total","23","3.933","87.0","13.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sysms-Consltn in Schl Psych","942
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Internshp-School Psychology","943
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Child,Adoles&Fam Psychother","947
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr in School Psychology","948
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
008","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","013
990","6","3.556","33.3","16.7","16.7",".",".",".",".","16.7",".",".",".","16.7",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 93 of 374"
