"REHAB PSYCH & SPECIAL EDU","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","",""
"300","001","","95","3.833","84.2","9.5","1.1",".","1.1",".","2.1",".",".",".",".",".","2.1",".",".","."
"300","002","","90","3.967","94.4","4.4","1.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Individls with Disabilities","Course Total","","185","3.899","89.2","7.0","1.1",".","0.5",".","1.1",".",".",".",".",".","1.1",".",".","."
"330
Behav Anal:Person-Disabilty","001","","35","3.929","94.3",".","2.9","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"340
Assess Stdts-Special Needs","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"420
Intro-Behav/Emotnl Disablts","001","","99","3.845","74.7","16.2","7.1",".",".",".",".","1.0",".",".",".",".",".",".",".","1.0"
"422
Curr&Mth:Behav/Emo Dis,6-12","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"424
Diag&Assess:Std-Bhv/EmtnDis","001","","6","3.667","83.3",".",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"425","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"425","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract:Behavrl/Emotnl Disabl","Course Total","","6","3.949","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"434
Diag&Assess:Erl Chld Spc Ed","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"435
Pract:Early Chldhd Spec Ed","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"440
Intellectual Disabilities","001","","34","3.956","94.1","2.9","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"444
Diag&Assess:Stdts-Intel Dis","004","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"445","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"445","003","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prac-Intellect Disabilities","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"501
Rehab-Cnslg Psych: Applcatn","001","","11","3.545","27.3","63.6",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"506
Strategy-Inclusive Schoolng","002","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"550
Rehab Psych-Medical Aspects","001","","14","3.143","14.3","28.6","35.7","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"630","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"630","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"630","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"630","018","","39","3.820","69.2","20.5","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrshp-Rehab or Spec Educ","Course Total","","43","3.828","69.8","18.6","9.3",".",".",".",".",".",".",".",".",".","2.3",".",".","."
"660","003","","14","3.714","50.0","42.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"660","004","","9","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"660","005","","29","3.862","86.2",".","13.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"660","006","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","59","3.820","76.3","11.9","10.2",".",".",".",".","1.7",".",".",".",".",".",".",".","."
"690","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"690","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"690","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","13","3.860","61.5","7.7","7.7",".",".",".",".","15.4",".",".",".",".","7.7",".",".","."
"699","004","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
