"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","",""
"VET","","","","","","","","","","","","","","","","","","","","","",""
"VET","College Total","3003","3.309","24.9","13.9","19.9","4.8","3.1","0.2","",".","30.8","",".","1.8",".","0.3","",".",".",".","0.1"
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","P","I","","NW","NR","Other"
"VET","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","3.000",".",".","100.0",".",".",".","",".",".","",".",".",".",".","",".",".",".","."
"Sophomore","","4","4.000","100.0",".",".",".",".",".","",".",".","",".",".",".",".","",".",".",".","."
"Junior","","5","4.000","100.0",".",".",".",".",".","",".",".","",".",".",".",".","",".",".",".","."
"Senior","","30","3.184","36.7","20.0","16.7","10.0","10.0","3.3","",".","3.3","",".",".",".",".","",".",".",".","."
"Undergraduates","","40","3.335","50.0","15.0","15.0","7.5","7.5","2.5","",".","2.5","",".",".",".",".","",".",".",".","."
"Special","","12","2.868","16.7","8.3","16.7","16.7","8.3",".","",".","25.0","",".",".",".",".","",".",".",".","8.3"
"Graduate","","138","3.798","55.1","10.1","8.7","0.7","0.7",".","",".","16.7","",".",".",".","7.2","",".",".",".","0.7"
"Prof Yr 1","","982","3.216","21.9","10.9","22.4","6.1","4.2","0.3","",".","34.2","",".",".",".",".","",".",".",".","."
"Prof Yr 2","","672","3.322","24.6","24.3","29.3","4.9","3.1","0.1","",".","13.5","",".","0.1",".",".","",".",".",".","."
"Prof Yr 3","","689","3.108","11.0","18.3","23.5","6.7","3.8","0.3","",".","29.0","",".","7.4",".",".","",".",".",".","."
"Prof Yr 4","","470","4.000","41.3",".",".",".",".",".","",".","57.9","",".","0.6",".",".","",".",".",".","0.2"
"Professionals","","2813","3.276","23.1","14.1","20.6","4.9","3.1","0.2","",".","32.0","",".","2.0",".",".","",".",".",".","0.0"
"","College Total","3003","3.309","24.9","13.9","19.9","4.8","3.1","0.2","",".","30.8","",".","1.8",".","0.3","",".",".",".","0.1"
