"ASTRONOMY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"188
ASTRON","","","","","","","","","","","","","","","","","","","",""
"100
Survey of Astronomy","001","","129","2.810","15.5","7.0","40.3","7.8","25.6","3.1","0.8",".",".",".",".",".",".",".",".","."
"103","001","","138","2.897","21.0","10.1","36.2","4.3","21.0","4.3","1.4","1.4",".",".",".",".",".",".",".","."
"103","002","","109","2.995","23.9","20.2","17.4","10.1","20.2","4.6",".","2.8","0.9",".",".",".",".",".",".","."
"The Evolving Universe","Course Total","","247","2.940","22.3","14.6","27.9","6.9","20.6","4.5","0.8","2.0","0.4",".",".",".",".",".",".","."
"104
Exploration of Solar System","001","","127","2.865","14.2","10.2","41.7","16.5","11.0","3.1","2.4","0.8",".",".",".",".",".",".",".","."
"113","001","","20","2.975","10.0","25.0","35.0","20.0","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"113","002","","18","2.861","11.1","50.0","22.2",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"113","003","","22","3.341","36.4","27.3","22.7","4.5","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"113","004","","23","3.196","21.7","34.8","17.4","13.0","13.0",".",".",".",".",".",".",".",".",".",".","."
"113","005","","23","3.000","13.0","17.4","43.5","8.7","17.4",".",".",".",".",".",".",".",".",".",".","."
"Hands on the Universe","Course Total","","106","3.085","18.9","30.2","28.3","9.4","8.5","1.9","2.8",".",".",".",".",".",".",".",".","."
"160
Life in the Universe","001","","139","2.763","22.3","7.9","28.1",".","30.9","9.4",".","1.4",".",".",".",".",".",".",".","."
"200
The Physical Universe","001","","18","2.794","11.1","11.1","38.9","16.7","11.1",".","5.6","5.6",".",".",".",".",".",".",".","."
"330
Galaxies and Cosmology","001","","11","3.045","36.4","18.2","18.2","9.1",".","18.2",".",".",".",".",".",".",".",".",".","."
"460
Experience-Astronom Observ","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"500
Tech-Mod Observatl Astrophy","001","","10","3.438","10.0","50.0","20.0",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"533
Resources From Space","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"715
Stellar Interiors&Evolution","001","","9","3.500","22.2","55.6","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"910
Seminar in Astrophysics","001","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"920
Smnar-Astrophysical Topics","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","13","4.000","23.1",".",".",".",".",".",".","76.9",".",".",".",".",".",".",".","."
