"BOTANY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"208
BOTANY","","","","","","","","","","","","","","","","","","","",""
"Survey of Botany","100","001","94","3.571","59.6","12.8","18.1","1.1","4.3","1.1","1.1",".",".",".",".",".",".","1.1",".","1.1"
"Plants, Parasites, & People","123","001","77","3.283","28.6","29.9","28.6","5.2","2.6","1.3","2.6",".",".",".",".",".",".",".",".","1.3"
"General Botany","130","001","175","2.431","14.3","7.4","22.9","6.9","27.4","19.4","1.7",".",".",".",".",".",".",".",".","."
"Genetics and Human Affairs","133","001","22","2.643","9.1","4.5","22.7","27.3","31.8",".",".",".",".",".",".",".",".",".",".","4.5"
"Introductory Biology","151","001","27","2.759","18.5","7.4","37.0","3.7","22.2","11.1",".",".",".",".",".",".",".",".",".","."
"","152","001","6","3.250","16.7","16.7","66.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","152","002","10","3.200","20.0","20.0","50.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Introductory Biology","","Course Total","16","3.219","18.8","18.8","56.3",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Introductory Ecology","260","001","110","2.977","21.8","12.7","30.0","15.5","17.3","2.7",".",".",".",".",".",".",".",".",".","."
"Principles-Plant Structure","305","001","18","3.361","33.3","22.2","33.3","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"Fungi","332","001","18","3.529","61.1",".","22.2",".","11.1",".",".","5.6",".",".",".",".",".",".",".","."
"Vascular Flora of Wisconsin","401","001","36","3.528","63.9","16.7","5.6",".","8.3","5.6",".",".",".",".",".",".",".",".",".","."
"","402","001","10","3.300","50.0",".","30.0",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"","402","002","11","3.364","36.4","27.3","18.2","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Dendrology","","Course Total","21","3.333","42.9","14.3","23.8","4.8","14.3",".",".",".",".",".",".",".",".",".",".","."
"Evolutionary Biology","410","001","8","2.625","12.5","25.0",".","25.0","25.0","12.5",".",".",".",".",".",".",".",".",".","."
"Plant Geography","422","001","18","3.604","72.2","11.1",".",".","5.6",".","5.6","5.6",".",".",".",".",".",".",".","."
"General Ecology","460","001","19","3.079","31.6",".","47.4","5.3","10.5","5.3",".",".",".",".",".",".",".",".",".","."
"Environmental Sys Concepts","461","001","6","3.083",".","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Envr Study/UNESCO-Biosphere","463","001","12","3.864","66.7","25.0",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"General Genetics","466","001","10","2.500",".","10.0","30.0","30.0","20.0","10.0",".",".",".",".",".",".",".",".",".","."
"Intro to Systems Biology","468","001","37","3.417","40.5","16.2","37.8",".",".",".","2.7","2.7",".",".",".",".",".",".",".","."
"Plant Physiology","500","001","31","3.430","35.5","29.0","25.8","6.5","3.2",".",".",".",".",".",".",".",".",".",".","."
"Introductory Cytogenetics","561","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Biol,Soc&Human Values","590","001","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone-Field Biology II","640","001","11","3.727","63.6","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Conservation Biology","651","001","11","3.538","54.5","18.2","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","682","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","692","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","042","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","9","3.760","77.8",".","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","042","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","9","3.875","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
