"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"REAL EST","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","1","1.000",".",".",".",".",".","100.0",".",".",".",".","",".","",".","",".",".",".","."
"Junior","124","3.207","18.5","29.0","35.5","8.9","6.5","0.8",".","0.8",".",".","",".","",".","",".",".",".","."
"Senior","293","3.220","19.5","27.6","34.5","10.9","4.4","0.3","0.3","2.0","0.3",".","",".","",".","",".",".",".","."
"Undergraduates","418","3.211","19.1","28.0","34.7","10.3","5.0","0.7","0.2","1.7","0.2",".","",".","",".","",".",".",".","."
"Special","9","3.083","11.1","11.1","33.3",".","11.1",".",".","33.3",".",".","",".","",".","",".",".",".","."
"Graduate","94","3.562","50.0","20.2","21.3","1.1",".",".","2.1","2.1",".",".","",".","",".","",".",".","3.2","."
"Prof Yr 1","3","3.250",".","33.3","33.3",".",".",".",".",".",".",".","",".","",".","",".",".","33.3","."
"Prof Yr 2","1","4.000","100.0",".",".",".",".",".",".",".",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","2","4.000","100.0",".",".",".",".",".",".",".",".",".","",".","",".","",".",".",".","."
"Professionals","6","3.700","50.0","16.7","16.7",".",".",".",".",".",".",".","",".","",".","",".",".","16.7","."
