"Seminar in Art Education","951
001","","3","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
059","","1","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","999
061","","2","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Adv Independent Reading","Course Total","","3","***","","","","","","","","","","","","","","","","","","","","","",""
"ART ED
176","Dept. Total","","98","3.834","70.4","19.4","7.1",".","1.0","",".","",".","",".","",".",".","",".","",".","1.0",".",".","1.0"
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","5","3.900","80.0","20.0",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","","","56","3.837","69.6","23.2","7.1",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","","61","3.842","70.5","23.0","6.6",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Special","","","29","3.795","69.0","17.2","10.3",".","3.4","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Graduate","","","8","4.000","75.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".","12.5",".",".","12.5"
"","Dept. Total","","98","3.834","70.4","19.4","7.1",".","1.0","",".","",".","",".","",".",".","",".","",".","1.0",".",".","1.0"
