"SOCIOLOGY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","","",""
"Criminology","441","001","","90","3.307","38.9","26.7","8.9","11.1","8.9","2.2","1.1",".",".",".",".",".",".","2.2",".","."
"","475","001","","25","2.440","20.0",".","32.0","16.0","8.0","12.0","12.0",".",".",".",".",".",".",".",".","."
"","475","002","","25","2.340","20.0","8.0","16.0","12.0","12.0","24.0","8.0",".",".",".",".",".",".",".",".","."
"Classical Soc Theory","","Course Total","","50","2.390","20.0","4.0","24.0","14.0","10.0","18.0","10.0",".",".",".",".",".",".",".",".","."
"Feminism & Sociologicl Thry","477","001","","17","3.688","76.5",".","11.8",".",".","5.9",".",".",".",".",".",".",".",".",".","5.9"
"","496","001","","23","3.879","82.6","13.0","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","496","002","","63","3.405","33.3","34.9","14.3","14.3","3.2",".",".",".",".",".",".",".",".",".",".","."
"Topics in Sociology","","Course Total","","86","3.533","46.5","29.1","11.6","10.5","2.3",".",".",".",".",".",".",".",".",".",".","."
"","530","001","","55","2.846","14.5","21.8","14.5","21.8","16.4","3.6","1.8","3.6",".",".",".",".",".","1.8",".","."
"","530","002","","35","2.743","8.6","22.9","25.7","11.4","25.7","2.9","2.9",".",".",".",".",".",".",".",".","."
"Intro-Social Psychology","","Course Total","","90","2.812","12.2","22.2","18.9","17.8","20.0","3.3","2.2","2.2",".",".",".",".",".","1.1",".","."
"Hlth Care Iss:Ind, Fam, Soc","532","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Social Behavior Dynamics","537","001","","10","3.200","40.0",".","30.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Soc Bhv & Natural Resources","541","001","","11","3.786","81.8","9.1",".",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Wildlife and Society","551","001","","32","2.867","15.6","12.5","31.3","12.5","15.6","6.3",".",".",".",".",".",".",".","3.1","3.1","."
"Blacks in Cities","577","001","","24","3.000","20.8","20.8","20.8","12.5","25.0",".",".",".",".",".",".",".",".",".",".","."
"Adv Topics-Critical Sociol","622","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Change","625","001","","32","3.423","34.4","46.9","6.3",".",".",".","6.3",".",".",".",".",".",".","6.3",".","."
"Social Structure of India","634","001","","12","2.700","25.0","25.0",".","8.3","8.3",".","16.7","16.7",".",".",".",".",".",".",".","."
"Sociology of the Family","640","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sociology and Law","641","001","","53","3.172","28.3","18.9","28.3","11.3","11.3","1.9",".",".",".",".",".",".",".",".",".","."
"Soc-Occupations&Professions","643","001","","36","3.586","52.8","16.7","22.2","2.8","2.8",".",".",".",".",".",".",".",".",".",".","2.8"
"Race and Ethnic Relations","646","001","","37","3.408","40.5","8.1","37.8","10.8",".",".",".",".",".",".",".",".","2.7",".",".","."
"Sociology of Education","648","001","","28","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem Demographic Techniques","674","001","","7","3.286","28.6","28.6","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"App Demogrphy-Amer Demgrphy","676","001","","11","3.636","54.5","18.2","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","692","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Pract-Analysis & Research","693","001","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","698","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","036","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
