"AMN","","","","","","","","","","","","","","","","","","","",""
"AIR FORCE AEROSPACE STUDI","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"102
A F AERO","","","","","","","","","","","","","","","","","","","",""
"","102
001","","8","3.643","37.5","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","12.5","."
"","002
102","","6","3.400","33.3",".","50.0",".",".",".",".",".",".",".",".",".",".","16.7",".","."
"The Air Force Today II","Course Total","","14","3.542","35.7","21.4","28.6",".",".",".",".",".",".",".",".",".",".","7.1","7.1","."
"","202
001","","9","3.222","44.4","22.2","22.2",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"","202
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"The Air Force Way II","Course Total","","12","3.333","41.7","33.3","16.7",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"Air Force Leadership&Mgt II","304
001","","14","3.786","78.6",".","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Preparation-Active Duty II","402
001","","8","3.438","37.5","12.5","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"A F AERO
102","Dept. Total","","48","3.600","50.0","16.7","27.1",".",".",".","2.1",".",".",".",".",".",".","2.1","2.1","."
