"AFRO-AMERICAN STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"106
AFROAMER","","","","","","","","","","","","","","","","","","","",""
"Black Music&Am Cultrl Hist","156","001","186","3.093","16.7","21.5","34.4","6.5","11.8","1.1","0.5","7.0",".",".",".",".","0.5",".",".","."
"Directed Study","199","022","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Afro-Am History","231","001","122","3.131","27.0","21.3","30.3","7.4","4.9","0.8","4.9","2.5",".",".",".",".",".","0.8",".","."
"Intro to Afro-American Art","242","001","88","3.373","26.1","37.5","20.5","5.7","3.4",".","1.1","3.4",".",".",".",".",".",".","1.1","1.1"
"Latin America-Introduction","260","001","10","2.875","30.0",".","10.0",".","40.0",".",".","10.0","10.0",".",".",".",".",".",".","."
"Intro Lit Rel:Afr Diaspora","262","001","24","3.500","45.8","37.5","4.2","4.2","4.2","4.2",".",".",".",".",".",".",".",".",".","."
"Intro Lit: 1930s to Present","268","001","96","3.216","13.5","42.7","30.2","6.3","4.2",".","2.1",".",".",".",".",".",".",".",".","1.0"
"Africa: Introductory Survey","277","001","44","2.988","15.9","22.7","31.8","11.4","9.1",".","4.5","4.5",".",".",".",".",".",".",".","."
"Blacks, Film, and Society","303","001","24","3.217","41.7","16.7","25.0",".","4.2",".","8.3","4.2",".",".",".",".",".",".",".","."
"Black Music(1920-Pres): Sax","311","001","15","3.367","26.7","33.3","26.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"Hist Afro-Am Upper Midwest","430","001","46","3.023","23.9","23.9","23.9","10.9","2.2",".","8.7",".",".",".",".",".","6.5",".",".","."
"Race,Gendr,Ethn-Labor Markt","460","001","7","3.214","14.3","28.6","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Slavery in the Amer South","467","001","25","3.239","20.0","32.0","16.0","20.0","4.0",".",".","4.0",".",".",".",".",".","4.0",".","."
"Race, Amer Med & Pub Health","523","001","10","2.750","10.0","40.0","20.0","10.0",".","10.0","10.0",".",".",".",".",".",".",".",".","."
"Blacks in Cities","577","001","21","3.000","23.8","4.8","28.6","23.8","14.3",".",".",".",".",".",".",".",".",".","4.8","."
"The Black Arts Movement","603","001","18","3.708","44.4","11.1","5.6","5.6",".",".",".","5.6",".",".",".",".","11.1","16.7",".","."
"Afro-Am Hist Since 1900","636","001","30","3.423","63.3","6.7","6.7","10.0","10.0",".","3.3",".",".",".",".",".",".",".",".","."
"Topics in Afro-Am Society","673","001","12","3.273","33.3","16.7","25.0",".","16.7",".",".","8.3",".",".",".",".",".",".",".","."
"Topics on Afro-Amer Artists","674","001","13","3.227","38.5","15.4","15.4","7.7",".",".","7.7",".",".",".",".",".","7.7",".",".","7.7"
"Perspctv-Black Women Writng","677","001","17","3.533","52.9","23.5","5.9",".",".",".","5.9",".",".",".",".",".","11.8",".",".","."
"","682","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","022","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honor Thesis","","Course Total","3","***","","","","","","","","","","","","","","","",""
"Senior Thesis","692","017","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","013","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","9","3.078","22.2","33.3","22.2",".","22.2",".",".",".",".",".",".",".",".",".",".","."
"Directed Study-Afro-Am Stdy","","Course Total","18","3.337","38.9","22.2","16.7","5.6","11.1",".",".",".",".",".",".",".","5.6",".",".","."
"","790","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","022","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","4","***","","","","","","","","","","","","","","","",""
