"PHILOSOPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","",""
"","101
001","85","2.887","17.6","11.8","32.9","15.3","17.6","1.2","2.4",".",".",".",".",".",".","1.2",".","."
"","101
002","87","2.935","11.5","18.4","36.8","17.2","9.2","1.1","2.3","1.1",".",".",".",".",".",".",".","2.3"
"","101
003","107","3.243","33.6","24.3","17.8","11.2","3.7","3.7","1.9","1.9","0.9",".",".",".",".",".",".","0.9"
"","101
004","68","3.015","20.6","30.9","17.6","10.3","14.7","2.9","2.9",".",".",".",".",".",".",".",".","."
"","005
101","65","3.398","32.3","30.8","27.7","4.6","1.5",".","1.5",".",".",".",".",".","1.5",".",".","."
"Introduction to Philosophy","Course Total","412","3.091","23.3","22.6","26.5","12.1","9.2","1.9","2.2","0.7","0.2",".",".",".","0.2","0.2",".","0.7"
"Intro to Philos for Jr & Sr","201
001","55","3.330","32.7","14.5","25.5","5.5","1.8","3.6",".","12.7",".",".",".",".",".","3.6",".","."
"","210
001","106","2.854","14.2","15.1","34.0","13.2","15.1","2.8","2.8","2.8",".",".",".",".",".",".",".","."
"","210
002","17","2.813","11.8","23.5","23.5","11.8","11.8","11.8",".",".",".",".",".",".",".","5.9",".","."
"Reason in Communication","Course Total","123","2.849","13.8","16.3","32.5","13.0","14.6","4.1","2.4","2.4",".",".",".",".",".","0.8",".","."
"","001
211","87","3.360","48.3","20.7","9.2","9.2","6.9","2.3","2.3","1.1",".",".",".",".",".",".",".","."
"","211
002","54","3.106","27.8","20.4","14.8","18.5","13.0",".","1.9","3.7",".",".",".",".",".",".",".","."
"Elementary Logic","Course Total","141","3.264","40.4","20.6","11.3","12.8","9.2","1.4","2.1","2.1",".",".",".",".",".",".",".","."
"","241
001","67","2.900","16.4","13.4","34.3","14.9","13.4","1.5","3.0","3.0",".",".",".",".",".",".",".","."
"","241
002","70","3.221","15.7","28.6","41.4","12.9","1.4",".",".",".",".",".",".",".",".",".",".","."
"Introductory Ethics","Course Total","137","3.067","16.1","21.2","38.0","13.9","7.3","0.7","1.5","1.5",".",".",".",".",".",".",".","."
"Ethics in Business","243
001","75","3.234","5.3","45.3","44.0","1.3",".",".","1.3","1.3",".",".",".",".",".",".",".","1.3"
"Intro-Philos of Religion","261
001","72","3.556","36.1","33.3","9.7","4.2","2.8",".",".","13.9",".",".",".",".",".",".",".","."
"","341
001","107","2.981","11.2","15.9","45.8","15.9","9.3","1.9",".",".",".",".",".",".",".",".",".","."
"","341
002","84","3.169","9.5","34.5","42.9","8.3","2.4",".","1.2",".",".",".",".",".",".","1.2",".","."
"","341
091","22","3.386","22.7","68.2",".",".","4.5",".","4.5",".",".",".",".",".",".",".",".","."
"","092
341","18","3.028","22.2","11.1","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"","341
093","18","3.500","16.7","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
094","20","3.525","30.0","45.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
095","17","3.000","23.5","17.6","17.6","29.4",".",".","5.9",".",".",".",".",".",".","5.9",".","."
"","341
096","18","3.250","27.8","33.3","22.2","5.6","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"","097
341","16","3.063","6.3","50.0","25.0","12.5",".",".","6.3",".",".",".",".",".",".",".",".","."
"Contemporary Moral Issues","Course Total","320","3.145","15.0","31.6","34.4","10.9","5.3","0.9","1.3",".",".",".",".",".",".","0.6",".","."
"Hist of Ancient Philosophy","430
001","64","3.475","29.7","34.4","21.9","6.3",".",".",".","3.1",".",".",".",".","1.6",".","3.1","."
"History-Modern Philosophy","432
001","71","3.141","25.4","29.6","23.9","12.7","2.8",".","5.6",".",".",".",".",".",".",".",".","."
"Environmental Ethics","441
001","43","3.357","39.5","23.3","27.9",".","2.3",".","4.7","2.3",".",".",".",".",".",".",".","."
"Junior Honors Seminar","481
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topic-Philos Relig","502
000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Methods of Logic","512
001","24","3.250","37.5","29.2","12.5",".","4.2",".","8.3","4.2",".",".",".",".",".",".",".","4.2"
"Spec Topics Phil of Lang","517
001","14","3.357","50.0","7.1","21.4","7.1","14.3",".",".",".",".",".",".",".",".",".",".","."
"Philos of Natural Sciences","520
001","15","2.893","20.0","20.0","20.0","13.3","13.3",".","6.7","6.7",".",".",".",".",".",".",".","."
"Philos Prblms-Biol Sciences","523
001","9","3.500","44.4","33.3","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Philosophy and Economics","524
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Freedom Fate and Choice","530
001","42","3.048","21.4","21.4","26.2","16.7","11.9",".","2.4",".",".",".",".",".",".",".",".","."
"Great Moral Philosophers","549
001","40","3.333","27.5","27.5","32.5","7.5",".","2.5",".","2.5",".",".",".",".",".",".",".","."
"Philos of Artificial Sci","554
001","10","3.111","40.0",".","10.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".","10.0"
"Ethical Probs-Biomed Tech","558
001","38","3.239","10.5","39.5","36.8","13.2",".",".",".",".",".",".",".",".",".",".",".","."
"Mathematical Logic","571
001","9","3.357","33.3",".","33.3","11.1",".",".",".",".",".",".",".",".",".",".","22.2","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 259 of 374",""
