"BIOLOGICAL SYSTEMS ENGINE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"112
BSE","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Educ Program","1","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Livestock Housing&Waste Mgt","210","001","","18","2.944","5.6","55.6",".","11.1","22.2","5.6",".",".",".",".",".",".",".",".",".","."
"Irrigation Sys-Design & Use","216","001","","21","3.000","4.8","33.3","28.6","23.8","9.5",".",".",".",".",".",".",".",".",".",".","."
"Drainage Systems","218","001","","15","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spark Ignitn&Diesel Engines","243","001","","24","2.958","12.5","12.5","41.7","20.8","12.5",".",".",".",".",".",".",".",".",".",".","."
"Tractors","245","001","","14","3.542","21.4","50.0","14.3",".",".",".",".",".",".",".",".",".",".","14.3",".","."
"Engr Principles-Biol Systms","249","001","","25","3.125","24.0","20.0","24.0","20.0","4.0","4.0",".",".",".",".",".",".",".",".",".","4.0"
"Wood Manufacturng Processes","310","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Wood as a Building Material","313","001","","17","2.214","23.5","5.9","11.8","5.9","5.9","5.9","23.5",".",".",".",".",".",".","17.6",".","."
"Tractor and Power Equipment","362","001","","12","3.208","16.7","50.0","8.3","8.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"Measrmt&Instrumntn-Biol Sys","365","001","","15","1.571",".","6.7","6.7","6.7","20.0","46.7","6.7","6.7",".",".",".",".",".",".",".","."
"Special Topics","375","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sedmnt & Bio-Nutr Engr&Mgmt","472","001","","10","2.700",".","20.0","40.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"Biol & Ag Engr Design Lab","502","001","","9","3.111","33.3","44.4",".",".","11.1",".","11.1",".",".",".",".",".",".",".",".","."
"Food Engineering Operations","542","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Watershed Engineering","571","001","","13","3.115","23.1","7.7","53.8",".","15.4",".",".",".",".",".",".",".",".",".",".","."
"Topics-Natural Resrces Engr","671","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Problems","699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","018","","6","4.000","16.7",".",".",".",".",".",".","33.3",".",".",".","50.0",".",".",".","."
"","990","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","","Course Total","","16","4.000","31.3",".",".",".",".",".",".","43.8",".",".",".","25.0",".",".",".","."
