"THEATRE AND DRAMA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","",""
"","120
001","273","3.439","35.2","36.3","14.3","7.3","5.9",".",".","0.7",".",".",".",".",".","0.4",".","."
"","120
092","61","2.918","32.8","11.5","26.2","8.2","8.2","4.9","8.2",".",".",".",".",".",".",".",".","."
"Introduction-Dramatic Arts","Course Total","334","3.319","34.7","31.7","16.5","7.5","6.3","0.9","1.5","0.6",".",".",".",".",".","0.3",".","."
"","140
001","16","3.563","62.5","18.8",".","6.3","12.5",".",".",".",".",".",".",".",".",".",".","."
"","140
002","16","3.967","87.5","6.3",".",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Voice Training","Course Total","32","3.758","75.0","12.5",".","3.1","6.3",".",".","3.1",".",".",".",".",".",".",".","."
"","150
001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
002","17","3.794","76.5","5.9","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
003","20","3.925","90.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
004","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
005","20","3.800","80.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
006","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
150","18","3.667","72.2","5.6","11.1","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","150
008","18","3.853","77.8","5.6","11.1",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Fundamentals of Acting","Course Total","153","3.878","86.3","3.9","7.8","0.7","0.7",".",".","0.7",".",".",".",".",".",".",".","."
"","161
001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","161
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
004","6","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","161
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
007","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
008","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Backstage Laboratory I","Course Total","34","3.676","67.6","17.6","11.8",".",".",".","2.9",".",".",".",".",".",".",".",".","."
"Fundamentals of Stagecraft","001
170","11","2.614","18.2","18.2","36.4",".",".",".","18.2","9.1",".",".",".",".",".",".",".","."
"Writing-Theatre&Performance","200
001","24","3.438","50.0",".","41.7","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"Wrld Theatre&Drama from 18c","222
001","62","3.344","27.4","29.0","30.6","6.5","4.8",".",".","1.6",".",".",".",".",".",".",".","."
"Intermediate Voice Training","240
001","18","3.611","55.6","27.8","5.6","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"Problems in Acting","250
001","18","3.806","77.8","16.7",".",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"History: Stage Costume","327
001","37","3.292","24.3","32.4","24.3","8.1","8.1",".",".","2.7",".",".",".",".",".",".",".","."
"Mask and Movement","340
001","12","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Backstage Laboratory II","361
001","28","3.833","64.3","17.9","10.7",".",".",".",".","3.6",".",".",".",".",".","3.6",".","."
"","362
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
003","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
004","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Drama in Ed:Pre-Middle Schl","Course Total","40","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prin&Practice-Stage Costume","363
001","18","3.655","66.7","22.2",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Stage Lighting I","366
001","22","3.194","9.1","40.9","31.8","9.1",".","4.5",".",".",".",".",".",".",".","4.5",".","."
"Stage Management","379
001","14","3.679","85.7","7.1",".",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"Acting Styles","450
001","14","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
