"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"M H R","","","","","","","","","","","","","","","","","","","",""
"Sophomore","2","3.000",".",".","100.0",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Junior","369","3.103","19.0","11.9","49.9","11.9","6.0","1.1","0.3",".","",".",".","",".",".",".",".",".","."
"Senior","688","3.184","24.9","18.0","36.6","11.5","6.8","1.2","0.3","0.7","",".",".","",".",".",".",".",".","."
"Undergraduates","1059","3.155","22.8","15.9","41.4","11.6","6.5","1.1","0.3","0.5","",".",".","",".",".",".",".",".","."
"Special","40","3.438","50.0","17.5","15.0","5.0","7.5","2.5",".",".","",".",".","",".",".","2.5",".",".","."
"Graduate","555","3.673","54.4","27.0","14.4","1.3","0.4",".","0.2","0.4","",".",".","",".","0.5","1.1","0.2","0.2","."
"Prof Yr 1","2","3.750","50.0","50.0",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 2","2","3.750","50.0","50.0",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 3","4","3.273",".","50.0","50.0",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","8","3.522","25.0","50.0","25.0",".",".",".",".",".","",".",".","",".",".",".",".",".","."
