"AMERICAN INDIAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","","","","",""
"Intro-Amer Indian Studies","100
001","27","3.521","25.9","40.7","22.2",".",".",".",".","11.1",".","",".",".","",".","",".",".",".","."
"Intro Archaeol-Native N Am","208
001","35","2.500","11.4","11.4","14.3","22.9","17.1","8.6","5.7","5.7",".","",".",".","",".","",".","2.9",".","."
"Archaeology-Western N Amer","356
001","9","3.375","22.2","22.2","44.4",".",".",".",".",".",".","",".",".","",".","",".",".",".","11.1"
"","450
001","20","3.350","25.0","40.0","20.0","10.0","5.0",".",".",".",".","",".",".","",".","",".",".",".","."
"","450
002","45","3.500","44.4","31.1","8.9",".","4.4","4.4",".","6.7",".","",".",".","",".","",".",".",".","."
"","003
450","12","3.364","33.3","33.3",".","16.7","8.3",".",".","8.3",".","",".",".","",".","",".",".",".","."
"","450
004","29","3.759","51.7","37.9","3.4",".",".",".",".",".",".","",".",".","",".","","6.9",".",".","."
"Issues in Amer Ind Studies","Course Total","106","3.525","41.5","34.9","8.5","3.8","3.8","1.9",".","3.8","",".",".","",".","",".","1.9",".",".","."
"","699
003","3","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","699
009","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"","699
011","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Directed Study","Course Total","5","***","","","","","","","","","","","","","","","","","","",""
"AMER IND
140","Dept. Total","182","3.337","34.1","29.7","13.2","6.6","5.5","2.7","1.1","4.9","",".",".","",".","",".","1.1","0.5",".","0.5"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","18","2.861","16.7","38.9","22.2",".","5.6","5.6","11.1",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","33","3.136","27.3","30.3","9.1","21.2","6.1","6.1",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","44","3.244","36.4","18.2","20.5","6.8","13.6","2.3",".",".","",".",".","",".","",".","2.3",".",".","."
"Senior","","77","3.583","36.4","36.4","9.1","1.3","1.3","1.3",".","10.4","",".",".","",".","",".","1.3","1.3",".","1.3"
"Undergraduates","","172","3.319","32.6","30.8","13.4","6.4","5.8","2.9","1.2","4.7","",".",".","",".","",".","1.2","0.6",".","0.6"
"Special","","2","4.000","50.0",".",".",".",".",".",".","50.0","",".",".","",".","",".",".",".",".","."
"Graduate","","8","3.625","62.5","12.5","12.5","12.5",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","182","3.337","34.1","29.7","13.2","6.6","5.5","2.7","1.1","4.9","",".",".","",".","",".","1.1","0.5",".","0.5"
